#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

él [acampar]";"él acampa"
"Indicativo
Presente

ella [acampar]";"ella acampa"
"Indicativo
Presente

Usted [acampar]";"Usted acampa"
"Indicativo
Presente

nosotros [acampar]";"nosotros acampamos"
"Indicativo
Presente

nosotras [acampar]";"nosotras acampamos"
"Indicativo
Presente

vosotros [acampar]";"vosotros acampáis"
"Indicativo
Presente

vosotras [acampar]";"vosotras acampáis"
"Indicativo
Presente

ellos [acampar]";"ellos acampan"
"Indicativo
Presente

ellas [acampar]";"ellas acampan"
"Indicativo
Presente

Ustedes [acampar]";"Ustedes acampan"
"Indicativo
Presente

yo [aceptar]";"yo acepto"
"Indicativo
Presente

tú [aceptar]";"tú aceptas"
"Indicativo
Presente

él [aceptar]";"él acepta"
"Indicativo
Presente

ella [aceptar]";"ella acepta"
"Indicativo
Presente

Usted [aceptar]";"Usted acepta"
"Indicativo
Presente

nosotros [aceptar]";"nosotros aceptamos"
"Indicativo
Presente

nosotras [aceptar]";"nosotras aceptamos"
"Indicativo
Presente

vosotros [aceptar]";"vosotros aceptáis"
"Indicativo
Presente

vosotras [aceptar]";"vosotras aceptáis"
"Indicativo
Presente

ellos [aceptar]";"ellos aceptan"
"Indicativo
Presente

ellas [aceptar]";"ellas aceptan"
"Indicativo
Presente

Ustedes [aceptar]";"Ustedes aceptan"
"Indicativo
Presente

yo [acercar]";"yo acerco"
"Indicativo
Presente

tú [acercar]";"tú acercas"
"Indicativo
Presente

él [acercar]";"él acerca"
"Indicativo
Presente

ella [acercar]";"ella acerca"
"Indicativo
Presente

Usted [acercar]";"Usted acerca"
"Indicativo
Presente

nosotros [acercar]";"nosotros acercamos"
"Indicativo
Presente

nosotras [acercar]";"nosotras acercamos"
"Indicativo
Presente

vosotros [acercar]";"vosotros acercáis"
"Indicativo
Presente

vosotras [acercar]";"vosotras acercáis"
"Indicativo
Presente

ellos [acercar]";"ellos acercan"
"Indicativo
Presente

ellas [acercar]";"ellas acercan"
"Indicativo
Presente

Ustedes [acercar]";"Ustedes acercan"
"Indicativo
Presente

yo [acompañar]";"yo acompaño"
"Indicativo
Presente

tú [acompañar]";"tú acompañas"
"Indicativo
Presente

él [acompañar]";"él acompaña"
"Indicativo
Presente

ella [acompañar]";"ella acompaña"
"Indicativo
Presente

Usted [acompañar]";"Usted acompaña"
"Indicativo
Presente

nosotros [acompañar]";"nosotros acompañamos"
"Indicativo
Presente

nosotras [acompañar]";"nosotras acompañamos"
"Indicativo
Presente

vosotros [acompañar]";"vosotros acompañáis"
"Indicativo
Presente

vosotras [acompañar]";"vosotras acompañáis"
"Indicativo
Presente

ellos [acompañar]";"ellos acompañan"
"Indicativo
Presente

ellas [acompañar]";"ellas acompañan"
"Indicativo
Presente

Ustedes [acompañar]";"Ustedes acompañan"
"Indicativo
Presente

yo [aconsejar]";"yo aconsejo"
"Indicativo
Presente

tú [aconsejar]";"tú aconsejas"
"Indicativo
Presente

él [aconsejar]";"él aconseja"
"Indicativo
Presente

ella [aconsejar]";"ella aconseja"
"Indicativo
Presente

Usted [aconsejar]";"Usted aconseja"
"Indicativo
Presente

nosotros [aconsejar]";"nosotros aconsejamos"
"Indicativo
Presente

nosotras [aconsejar]";"nosotras aconsejamos"
"Indicativo
Presente

vosotros [aconsejar]";"vosotros aconsejáis"
"Indicativo
Presente

vosotras [aconsejar]";"vosotras aconsejáis"
"Indicativo
Presente

ellos [aconsejar]";"ellos aconsejan"
"Indicativo
Presente

ellas [aconsejar]";"ellas aconsejan"
"Indicativo
Presente

Ustedes [aconsejar]";"Ustedes aconsejan"
"Indicativo
Presente

yo [acordar]";"yo acuerdo"
"Indicativo
Presente

tú [acordar]";"tú acuerdas"
"Indicativo
Presente

él [acordar]";"él acuerda"
"Indicativo
Presente

ella [acordar]";"ella acuerda"
"Indicativo
Presente

Usted [acordar]";"Usted acuerda"
"Indicativo
Presente

nosotros [acordar]";"nosotros acordamos"
"Indicativo
Presente

nosotras [acordar]";"nosotras acordamos"
"Indicativo
Presente

vosotros [acordar]";"vosotros acordáis"
"Indicativo
Presente

vosotras [acordar]";"vosotras acordáis"
"Indicativo
Presente

ellos [acordar]";"ellos acuerdan"
"Indicativo
Presente

ellas [acordar]";"ellas acuerdan"
"Indicativo
Presente

Ustedes [acordar]";"Ustedes acuerdan"
"Indicativo
Presente

yo [acortar]";"yo acorto"
"Indicativo
Presente

tú [acortar]";"tú acortas"
"Indicativo
Presente

él [acortar]";"él acorta"
"Indicativo
Presente

ella [acortar]";"ella acorta"
"Indicativo
Presente

Usted [acortar]";"Usted acorta"
"Indicativo
Presente

nosotros [acortar]";"nosotros acortamos"
"Indicativo
Presente

nosotras [acortar]";"nosotras acortamos"
"Indicativo
Presente

vosotros [acortar]";"vosotros acortáis"
"Indicativo
Presente

vosotras [acortar]";"vosotras acortáis"
"Indicativo
Presente

ellos [acortar]";"ellos acortan"
"Indicativo
Presente

ellas [acortar]";"ellas acortan"
"Indicativo
Presente

Ustedes [acortar]";"Ustedes acortan"
"Indicativo
Presente

yo [acostar]";"yo acuesto"
"Indicativo
Presente

tú [acostar]";"tú acuestas"
"Indicativo
Presente

él [acostar]";"él acuesta"
"Indicativo
Presente

ella [acostar]";"ella acuesta"
"Indicativo
Presente

Usted [acostar]";"Usted acuesta"
"Indicativo
Presente

nosotros [acostar]";"nosotros acostamos"
"Indicativo
Presente

nosotras [acostar]";"nosotras acostamos"
"Indicativo
Presente

vosotros [acostar]";"vosotros acostáis"
"Indicativo
Presente

vosotras [acostar]";"vosotras acostáis"
"Indicativo
Presente

ellos [acostar]";"ellos acuestan"
"Indicativo
Presente

ellas [acostar]";"ellas acuestan"
"Indicativo
Presente

Ustedes [acostar]";"Ustedes acuestan"
"Indicativo
Presente

yo [acostumbrar]";"yo acostumbro"
"Indicativo
Presente

tú [acostumbrar]";"tú acostumbras"
"Indicativo
Presente

él [acostumbrar]";"él acostumbra"
"Indicativo
Presente

ella [acostumbrar]";"ella acostumbra"
"Indicativo
Presente

Usted [acostumbrar]";"Usted acostumbra"
"Indicativo
Presente

nosotros [acostumbrar]";"nosotros acostumbramos"
"Indicativo
Presente

nosotras [acostumbrar]";"nosotras acostumbramos"
"Indicativo
Presente

vosotros [acostumbrar]";"vosotros acostumbráis"
"Indicativo
Presente

vosotras [acostumbrar]";"vosotras acostumbráis"
"Indicativo
Presente

ellos [acostumbrar]";"ellos acostumbran"
"Indicativo
Presente

ellas [acostumbrar]";"ellas acostumbran"
"Indicativo
Presente

Ustedes [acostumbrar]";"Ustedes acostumbran"
"Indicativo
Presente

yo [actuar]";"yo actúo"
"Indicativo
Presente

tú [actuar]";"tú actúas"
"Indicativo
Presente

él [actuar]";"él actúa"
"Indicativo
Presente

ella [actuar]";"ella actúa"
"Indicativo
Presente

Usted [actuar]";"Usted actúa"
"Indicativo
Presente

nosotros [actuar]";"nosotros actuamos"
"Indicativo
Presente

nosotras [actuar]";"nosotras actuamos"
"Indicativo
Presente

vosotros [actuar]";"vosotros actuáis"
"Indicativo
Presente

vosotras [actuar]";"vosotras actuáis"
"Indicativo
Presente

ellos [actuar]";"ellos actúan"
"Indicativo
Presente

ellas [actuar]";"ellas actúan"
"Indicativo
Presente

Ustedes [actuar]";"Ustedes actúan"
"Indicativo
Presente

yo [adivinar]";"yo adivino"
"Indicativo
Presente

tú [adivinar]";"tú adivinas"
"Indicativo
Presente

él [adivinar]";"él adivina"
"Indicativo
Presente

ella [adivinar]";"ella adivina"
"Indicativo
Presente

Usted [adivinar]";"Usted adivina"
"Indicativo
Presente

nosotros [adivinar]";"nosotros adivinamos"
"Indicativo
Presente

nosotras [adivinar]";"nosotras adivinamos"
"Indicativo
Presente

vosotros [adivinar]";"vosotros adivináis"
"Indicativo
Presente

vosotras [adivinar]";"vosotras adivináis"
"Indicativo
Presente

ellos [adivinar]";"ellos adivinan"
"Indicativo
Presente

ellas [adivinar]";"ellas adivinan"
"Indicativo
Presente

Ustedes [adivinar]";"Ustedes adivinan"
"Indicativo
Presente

yo [admirar]";"yo admiro"
"Indicativo
Presente

tú [admirar]";"tú admiras"
"Indicativo
Presente

él [admirar]";"él admira"
"Indicativo
Presente

ella [admirar]";"ella admira"
"Indicativo
Presente

Usted [admirar]";"Usted admira"
"Indicativo
Presente

nosotros [admirar]";"nosotros admiramos"
"Indicativo
Presente

nosotras [admirar]";"nosotras admiramos"
"Indicativo
Presente

vosotros [admirar]";"vosotros admiráis"
"Indicativo
Presente

vosotras [admirar]";"vosotras admiráis"
"Indicativo
Presente

ellos [admirar]";"ellos admiran"
"Indicativo
Presente

ellas [admirar]";"ellas admiran"
"Indicativo
Presente

Ustedes [admirar]";"Ustedes admiran"
"Indicativo
Presente

yo [adorar]";"yo adoro"
"Indicativo
Presente

tú [adorar]";"tú adoras"
"Indicativo
Presente

él [adorar]";"él adora"
"Indicativo
Presente

ella [adorar]";"ella adora"
"Indicativo
Presente

Usted [adorar]";"Usted adora"
"Indicativo
Presente

nosotros [adorar]";"nosotros adoramos"
"Indicativo
Presente

nosotras [adorar]";"nosotras adoramos"
"Indicativo
Presente

vosotros [adorar]";"vosotros adoráis"
"Indicativo
Presente

vosotras [adorar]";"vosotras adoráis"
"Indicativo
Presente

ellos [adorar]";"ellos adoran"
"Indicativo
Presente

ellas [adorar]";"ellas adoran"
"Indicativo
Presente

Ustedes [adorar]";"Ustedes adoran"
"Indicativo
Presente

yo [adornar]";"yo adorno"
"Indicativo
Presente

tú [adornar]";"tú adornas"
"Indicativo
Presente

él [adornar]";"él adorna"
"Indicativo
Presente

ella [adornar]";"ella adorna"
"Indicativo
Presente

Usted [adornar]";"Usted adorna"
"Indicativo
Presente

nosotros [adornar]";"nosotros adornamos"
"Indicativo
Presente

nosotras [adornar]";"nosotras adornamos"
"Indicativo
Presente

vosotros [adornar]";"vosotros adornáis"
"Indicativo
Presente

vosotras [adornar]";"vosotras adornáis"
"Indicativo
Presente

ellos [adornar]";"ellos adornan"
"Indicativo
Presente

ellas [adornar]";"ellas adornan"
"Indicativo
Presente

Ustedes [adornar]";"Ustedes adornan"
"Indicativo
Presente

yo [afeitar]";"yo afeito"
"Indicativo
Presente

tú [afeitar]";"tú afeitas"
"Indicativo
Presente

él [afeitar]";"él afeita"
"Indicativo
Presente

ella [afeitar]";"ella afeita"
"Indicativo
Presente

Usted [afeitar]";"Usted afeita"
"Indicativo
Presente

nosotros [afeitar]";"nosotros afeitamos"
"Indicativo
Presente

nosotras [afeitar]";"nosotras afeitamos"
"Indicativo
Presente

vosotros [afeitar]";"vosotros afeitáis"
"Indicativo
Presente

vosotras [afeitar]";"vosotras afeitáis"
"Indicativo
Presente

ellos [afeitar]";"ellos afeitan"
"Indicativo
Presente

ellas [afeitar]";"ellas afeitan"
"Indicativo
Presente

Ustedes [afeitar]";"Ustedes afeitan"
"Indicativo
Presente

yo [afirmar]";"yo afirmo"
"Indicativo
Presente

tú [afirmar]";"tú afirmas"
"Indicativo
Presente

él [afirmar]";"él afirma"
"Indicativo
Presente

ella [afirmar]";"ella afirma"
"Indicativo
Presente

Usted [afirmar]";"Usted afirma"
"Indicativo
Presente

nosotros [afirmar]";"nosotros afirmamos"
"Indicativo
Presente

nosotras [afirmar]";"nosotras afirmamos"
"Indicativo
Presente

vosotros [afirmar]";"vosotros afirmáis"
"Indicativo
Presente

vosotras [afirmar]";"vosotras afirmáis"
"Indicativo
Presente

ellos [afirmar]";"ellos afirman"
"Indicativo
Presente

ellas [afirmar]";"ellas afirman"
"Indicativo
Presente

Ustedes [afirmar]";"Ustedes afirman"
"Indicativo
Presente

yo [agorar]";"yo agüero"
"Indicativo
Presente

tú [agorar]";"tú agüeras"
"Indicativo
Presente

él [agorar]";"él agüera"
"Indicativo
Presente

ella [agorar]";"ella agüera"
"Indicativo
Presente

Usted [agorar]";"Usted agüera"
"Indicativo
Presente

nosotros [agorar]";"nosotros agoramos"
"Indicativo
Presente

nosotras [agorar]";"nosotras agoramos"
"Indicativo
Presente

vosotros [agorar]";"vosotros agoráis"
"Indicativo
Presente

vosotras [agorar]";"vosotras agoráis"
"Indicativo
Presente

ellos [agorar]";"ellos agüeran"
"Indicativo
Presente

ellas [agorar]";"ellas agüeran"
"Indicativo
Presente

Ustedes [agorar]";"Ustedes agüeran"
"Indicativo
Presente

yo [agradar]";"yo agrado"
"Indicativo
Presente

tú [agradar]";"tú agradas"
"Indicativo
Presente

él [agradar]";"él agrada"
"Indicativo
Presente

ella [agradar]";"ella agrada"
"Indicativo
Presente

Usted [agradar]";"Usted agrada"
"Indicativo
Presente

nosotros [agradar]";"nosotros agradamos"
"Indicativo
Presente

nosotras [agradar]";"nosotras agradamos"
"Indicativo
Presente

vosotros [agradar]";"vosotros agradáis"
"Indicativo
Presente

vosotras [agradar]";"vosotras agradáis"
"Indicativo
Presente

ellos [agradar]";"ellos agradan"
"Indicativo
Presente

ellas [agradar]";"ellas agradan"
"Indicativo
Presente

Ustedes [agradar]";"Ustedes agradan"
"Indicativo
Presente

yo [aguantar]";"yo aguanto"
"Indicativo
Presente

tú [aguantar]";"tú aguantas"
"Indicativo
Presente

él [aguantar]";"él aguanta"
"Indicativo
Presente

ella [aguantar]";"ella aguanta"
"Indicativo
Presente

Usted [aguantar]";"Usted aguanta"
"Indicativo
Presente

nosotros [aguantar]";"nosotros aguantamos"
"Indicativo
Presente

nosotras [aguantar]";"nosotras aguantamos"
"Indicativo
Presente

vosotros [aguantar]";"vosotros aguantáis"
"Indicativo
Presente

vosotras [aguantar]";"vosotras aguantáis"
"Indicativo
Presente

ellos [aguantar]";"ellos aguantan"
"Indicativo
Presente

ellas [aguantar]";"ellas aguantan"
"Indicativo
Presente

Ustedes [aguantar]";"Ustedes aguantan"
"Indicativo
Presente

yo [ahorcar]";"yo ahorco"
"Indicativo
Presente

tú [ahorcar]";"tú ahorcas"
"Indicativo
Presente

él [ahorcar]";"él ahorca"
"Indicativo
Presente

ella [ahorcar]";"ella ahorca"
"Indicativo
Presente

Usted [ahorcar]";"Usted ahorca"
"Indicativo
Presente

nosotros [ahorcar]";"nosotros ahorcamos"
"Indicativo
Presente

nosotras [ahorcar]";"nosotras ahorcamos"
"Indicativo
Presente

vosotros [ahorcar]";"vosotros ahorcáis"
"Indicativo
Presente

vosotras [ahorcar]";"vosotras ahorcáis"
"Indicativo
Presente

ellos [ahorcar]";"ellos ahorcan"
"Indicativo
Presente

ellas [ahorcar]";"ellas ahorcan"
"Indicativo
Presente

Ustedes [ahorcar]";"Ustedes ahorcan"
"Indicativo
Presente

yo [ahorrar]";"yo ahorro"
"Indicativo
Presente

tú [ahorrar]";"tú ahorras"
"Indicativo
Presente

él [ahorrar]";"él ahorra"
"Indicativo
Presente

ella [ahorrar]";"ella ahorra"
"Indicativo
Presente

Usted [ahorrar]";"Usted ahorra"
"Indicativo
Presente

nosotros [ahorrar]";"nosotros ahorramos"
"Indicativo
Presente

nosotras [ahorrar]";"nosotras ahorramos"
"Indicativo
Presente

vosotros [ahorrar]";"vosotros ahorráis"
"Indicativo
Presente

vosotras [ahorrar]";"vosotras ahorráis"
"Indicativo
Presente

ellos [ahorrar]";"ellos ahorran"
"Indicativo
Presente

ellas [ahorrar]";"ellas ahorran"
"Indicativo
Presente

Ustedes [ahorrar]";"Ustedes ahorran"
"Indicativo
Presente

yo [alcanzar]";"yo alcanzo"
"Indicativo
Presente

tú [alcanzar]";"tú alcanzas"
"Indicativo
Presente

él [alcanzar]";"él alcanza"
"Indicativo
Presente

ella [alcanzar]";"ella alcanza"
"Indicativo
Presente

Usted [alcanzar]";"Usted alcanza"
"Indicativo
Presente

nosotros [alcanzar]";"nosotros alcanzamos"
"Indicativo
Presente

nosotras [alcanzar]";"nosotras alcanzamos"
"Indicativo
Presente

vosotros [alcanzar]";"vosotros alcanzáis"
"Indicativo
Presente

vosotras [alcanzar]";"vosotras alcanzáis"
"Indicativo
Presente

ellos [alcanzar]";"ellos alcanzan"
"Indicativo
Presente

ellas [alcanzar]";"ellas alcanzan"
"Indicativo
Presente

Ustedes [alcanzar]";"Ustedes alcanzan"
"Indicativo
Presente

yo [alegrar]";"yo alegro"
"Indicativo
Presente

tú [alegrar]";"tú alegras"
"Indicativo
Presente

él [alegrar]";"él alegra"
"Indicativo
Presente

ella [alegrar]";"ella alegra"
"Indicativo
Presente

Usted [alegrar]";"Usted alegra"
"Indicativo
Presente

nosotros [alegrar]";"nosotros alegramos"
"Indicativo
Presente

nosotras [alegrar]";"nosotras alegramos"
"Indicativo
Presente

vosotros [alegrar]";"vosotros alegráis"
"Indicativo
Presente

vosotras [alegrar]";"vosotras alegráis"
"Indicativo
Presente

ellos [alegrar]";"ellos alegran"
"Indicativo
Presente

ellas [alegrar]";"ellas alegran"
"Indicativo
Presente

Ustedes [alegrar]";"Ustedes alegran"
"Indicativo
Presente

yo [alentar]";"yo aliento"
"Indicativo
Presente

tú [alentar]";"tú alientas"
"Indicativo
Presente

él [alentar]";"él alienta"
"Indicativo
Presente

ella [alentar]";"ella alienta"
"Indicativo
Presente

Usted [alentar]";"Usted alienta"
"Indicativo
Presente

nosotros [alentar]";"nosotros alentamos"
"Indicativo
Presente

nosotras [alentar]";"nosotras alentamos"
"Indicativo
Presente

vosotros [alentar]";"vosotros alentáis"
"Indicativo
Presente

vosotras [alentar]";"vosotras alentáis"
"Indicativo
Presente

ellos [alentar]";"ellos alientan"
"Indicativo
Presente

ellas [alentar]";"ellas alientan"
"Indicativo
Presente

Ustedes [alentar]";"Ustedes alientan"
"Indicativo
Presente

yo [aliviar]";"yo alivio"
"Indicativo
Presente

tú [aliviar]";"tú alivias"
"Indicativo
Presente

él [aliviar]";"él alivia"
"Indicativo
Presente

ella [aliviar]";"ella alivia"
"Indicativo
Presente

Usted [aliviar]";"Usted alivia"
"Indicativo
Presente

nosotros [aliviar]";"nosotros aliviamos"
"Indicativo
Presente

nosotras [aliviar]";"nosotras aliviamos"
"Indicativo
Presente

vosotros [aliviar]";"vosotros aliviáis"
"Indicativo
Presente

vosotras [aliviar]";"vosotras aliviáis"
"Indicativo
Presente

ellos [aliviar]";"ellos alivian"
"Indicativo
Presente

ellas [aliviar]";"ellas alivian"
"Indicativo
Presente

Ustedes [aliviar]";"Ustedes alivian"
"Indicativo
Presente

yo [almorzar]";"yo almuerzo"
"Indicativo
Presente

tú [almorzar]";"tú almuerzas"
"Indicativo
Presente

él [almorzar]";"él almuerza"
"Indicativo
Presente

ella [almorzar]";"ella almuerza"
"Indicativo
Presente

Usted [almorzar]";"Usted almuerza"
"Indicativo
Presente

nosotros [almorzar]";"nosotros almorzamos"
"Indicativo
Presente

nosotras [almorzar]";"nosotras almorzamos"
"Indicativo
Presente

vosotros [almorzar]";"vosotros almorzáis"
"Indicativo
Presente

vosotras [almorzar]";"vosotras almorzáis"
"Indicativo
Presente

ellos [almorzar]";"ellos almuerzan"
"Indicativo
Presente

ellas [almorzar]";"ellas almuerzan"
"Indicativo
Presente

Ustedes [almorzar]";"Ustedes almuerzan"
"Indicativo
Presente

yo [alquilar]";"yo alquilo"
"Indicativo
Presente

tú [alquilar]";"tú alquilas"
"Indicativo
Presente

él [alquilar]";"él alquila"
"Indicativo
Presente

ella [alquilar]";"ella alquila"
"Indicativo
Presente

Usted [alquilar]";"Usted alquila"
"Indicativo
Presente

nosotros [alquilar]";"nosotros alquilamos"
"Indicativo
Presente

nosotras [alquilar]";"nosotras alquilamos"
"Indicativo
Presente

vosotros [alquilar]";"vosotros alquiláis"
"Indicativo
Presente

vosotras [alquilar]";"vosotras alquiláis"
"Indicativo
Presente

ellos [alquilar]";"ellos alquilan"
"Indicativo
Presente

ellas [alquilar]";"ellas alquilan"
"Indicativo
Presente

Ustedes [alquilar]";"Ustedes alquilan"
"Indicativo
Presente

yo [amar]";"yo amo"
"Indicativo
Presente

tú [amar]";"tú amas"
"Indicativo
Presente

él [amar]";"él ama"
"Indicativo
Presente

ella [amar]";"ella ama"
"Indicativo
Presente

Usted [amar]";"Usted ama"
"Indicativo
Presente

nosotros [amar]";"nosotros amamos"
"Indicativo
Presente

nosotras [amar]";"nosotras amamos"
"Indicativo
Presente

vosotros [amar]";"vosotros amáis"
"Indicativo
Presente

vosotras [amar]";"vosotras amáis"
"Indicativo
Presente

ellos [amar]";"ellos aman"
"Indicativo
Presente

ellas [amar]";"ellas aman"
"Indicativo
Presente

Ustedes [amar]";"Ustedes aman"
"Indicativo
Presente

yo [amenazar]";"yo amenazo"
"Indicativo
Presente

tú [amenazar]";"tú amenazas"
"Indicativo
Presente

él [amenazar]";"él amenaza"
"Indicativo
Presente

ella [amenazar]";"ella amenaza"
"Indicativo
Presente

Usted [amenazar]";"Usted amenaza"
"Indicativo
Presente

nosotros [amenazar]";"nosotros amenazamos"
"Indicativo
Presente

nosotras [amenazar]";"nosotras amenazamos"
"Indicativo
Presente

vosotros [amenazar]";"vosotros amenazáis"
"Indicativo
Presente

vosotras [amenazar]";"vosotras amenazáis"
"Indicativo
Presente

ellos [amenazar]";"ellos amenazan"
"Indicativo
Presente

ellas [amenazar]";"ellas amenazan"
"Indicativo
Presente

Ustedes [amenazar]";"Ustedes amenazan"
"Indicativo
Presente

yo [andar]";"yo ando"
"Indicativo
Presente

tú [andar]";"tú andas"
"Indicativo
Presente

él [andar]";"él anda"
"Indicativo
Presente

ella [andar]";"ella anda"
"Indicativo
Presente

Usted [andar]";"Usted anda"
"Indicativo
Presente

nosotros [andar]";"nosotros andamos"
"Indicativo
Presente

nosotras [andar]";"nosotras andamos"
"Indicativo
Presente

vosotros [andar]";"vosotros andáis"
"Indicativo
Presente

vosotras [andar]";"vosotras andáis"
"Indicativo
Presente

ellos [andar]";"ellos andan"
"Indicativo
Presente

ellas [andar]";"ellas andan"
"Indicativo
Presente

Ustedes [andar]";"Ustedes andan"
"Indicativo
Presente

yo [anhelar]";"yo anhelo"
"Indicativo
Presente

tú [anhelar]";"tú anhelas"
"Indicativo
Presente

él [anhelar]";"él anhela"
"Indicativo
Presente

ella [anhelar]";"ella anhela"
"Indicativo
Presente

Usted [anhelar]";"Usted anhela"
"Indicativo
Presente

nosotros [anhelar]";"nosotros anhelamos"
"Indicativo
Presente

nosotras [anhelar]";"nosotras anhelamos"
"Indicativo
Presente

vosotros [anhelar]";"vosotros anheláis"
"Indicativo
Presente

vosotras [anhelar]";"vosotras anheláis"
"Indicativo
Presente

ellos [anhelar]";"ellos anhelan"
"Indicativo
Presente

ellas [anhelar]";"ellas anhelan"
"Indicativo
Presente

Ustedes [anhelar]";"Ustedes anhelan"
"Indicativo
Presente

yo [anunciar]";"yo anuncio"
"Indicativo
Presente

tú [anunciar]";"tú anuncias"
"Indicativo
Presente

él [anunciar]";"él anuncia"
"Indicativo
Presente

ella [anunciar]";"ella anuncia"
"Indicativo
Presente

Usted [anunciar]";"Usted anuncia"
"Indicativo
Presente

nosotros [anunciar]";"nosotros anunciamos"
"Indicativo
Presente

nosotras [anunciar]";"nosotras anunciamos"
"Indicativo
Presente

vosotros [anunciar]";"vosotros anunciáis"
"Indicativo
Presente

vosotras [anunciar]";"vosotras anunciáis"
"Indicativo
Presente

ellos [anunciar]";"ellos anuncian"
"Indicativo
Presente

ellas [anunciar]";"ellas anuncian"
