#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

vosotras [abortar]";"vosotras abortasteis"
"Indicativo
Pretérito

ellos [abortar]";"ellos abortaron"
"Indicativo
Pretérito

ellas [abortar]";"ellas abortaron"
"Indicativo
Pretérito

Ustedes [abortar]";"Ustedes abortaron"
"Indicativo
Pretérito

yo [abrazar]";"yo abracé"
"Indicativo
Pretérito

tú [abrazar]";"tú abrazaste"
"Indicativo
Pretérito

él [abrazar]";"él abrazó"
"Indicativo
Pretérito

ella [abrazar]";"ella abrazó"
"Indicativo
Pretérito

Usted [abrazar]";"Usted abrazó"
"Indicativo
Pretérito

nosotros [abrazar]";"nosotros abrazamos"
"Indicativo
Pretérito

nosotras [abrazar]";"nosotras abrazamos"
"Indicativo
Pretérito

vosotros [abrazar]";"vosotros abrazasteis"
"Indicativo
Pretérito

vosotras [abrazar]";"vosotras abrazasteis"
"Indicativo
Pretérito

ellos [abrazar]";"ellos abrazaron"
"Indicativo
Pretérito

ellas [abrazar]";"ellas abrazaron"
"Indicativo
Pretérito

Ustedes [abrazar]";"Ustedes abrazaron"
"Indicativo
Pretérito

yo [abusar]";"yo abusé"
"Indicativo
Pretérito

tú [abusar]";"tú abusaste"
"Indicativo
Pretérito

él [abusar]";"él abusó"
"Indicativo
Pretérito

ella [abusar]";"ella abusó"
"Indicativo
Pretérito

Usted [abusar]";"Usted abusó"
"Indicativo
Pretérito

nosotros [abusar]";"nosotros abusamos"
"Indicativo
Pretérito

nosotras [abusar]";"nosotras abusamos"
"Indicativo
Pretérito

vosotros [abusar]";"vosotros abusasteis"
"Indicativo
Pretérito

vosotras [abusar]";"vosotras abusasteis"
"Indicativo
Pretérito

ellos [abusar]";"ellos abusaron"
"Indicativo
Pretérito

ellas [abusar]";"ellas abusaron"
"Indicativo
Pretérito

Ustedes [abusar]";"Ustedes abusaron"
"Indicativo
Pretérito

yo [acabar]";"yo acabé"
"Indicativo
Pretérito

tú [acabar]";"tú acabaste"
"Indicativo
Pretérito

él [acabar]";"él acabó"
"Indicativo
Pretérito

ella [acabar]";"ella acabó"
"Indicativo
Pretérito

Usted [acabar]";"Usted acabó"
"Indicativo
Pretérito

nosotros [acabar]";"nosotros acabamos"
"Indicativo
Pretérito

nosotras [acabar]";"nosotras acabamos"
"Indicativo
Pretérito

vosotros [acabar]";"vosotros acabasteis"
"Indicativo
Pretérito

vosotras [acabar]";"vosotras acabasteis"
"Indicativo
Pretérito

ellos [acabar]";"ellos acabaron"
"Indicativo
Pretérito

ellas [acabar]";"ellas acabaron"
"Indicativo
Pretérito

Ustedes [acabar]";"Ustedes acabaron"
"Indicativo
Pretérito

yo [acampar]";"yo acampé"
"Indicativo
Pretérito

tú [acampar]";"tú acampaste"
"Indicativo
Pretérito

él [acampar]";"él acampó"
"Indicativo
Pretérito

ella [acampar]";"ella acampó"
"Indicativo
Pretérito

Usted [acampar]";"Usted acampó"
"Indicativo
Pretérito

nosotros [acampar]";"nosotros acampamos"
"Indicativo
Pretérito

nosotras [acampar]";"nosotras acampamos"
"Indicativo
Pretérito

vosotros [acampar]";"vosotros acampasteis"
"Indicativo
Pretérito

vosotras [acampar]";"vosotras acampasteis"
"Indicativo
Pretérito

ellos [acampar]";"ellos acamparon"
"Indicativo
Pretérito

ellas [acampar]";"ellas acamparon"
"Indicativo
Pretérito

Ustedes [acampar]";"Ustedes acamparon"
"Indicativo
Pretérito

yo [aceptar]";"yo acepté"
"Indicativo
Pretérito

tú [aceptar]";"tú aceptaste"
"Indicativo
Pretérito

él [aceptar]";"él aceptó"
"Indicativo
Pretérito

ella [aceptar]";"ella aceptó"
"Indicativo
Pretérito

Usted [aceptar]";"Usted aceptó"
"Indicativo
Pretérito

nosotros [aceptar]";"nosotros aceptamos"
"Indicativo
Pretérito

nosotras [aceptar]";"nosotras aceptamos"
"Indicativo
Pretérito

vosotros [aceptar]";"vosotros aceptasteis"
"Indicativo
Pretérito

vosotras [aceptar]";"vosotras aceptasteis"
"Indicativo
Pretérito

ellos [aceptar]";"ellos aceptaron"
"Indicativo
Pretérito

ellas [aceptar]";"ellas aceptaron"
"Indicativo
Pretérito

Ustedes [aceptar]";"Ustedes aceptaron"
"Indicativo
Pretérito

yo [acercar]";"yo acerqué"
"Indicativo
Pretérito

tú [acercar]";"tú acercaste"
"Indicativo
Pretérito

él [acercar]";"él acercó"
"Indicativo
Pretérito

ella [acercar]";"ella acercó"
"Indicativo
Pretérito

Usted [acercar]";"Usted acercó"
"Indicativo
Pretérito

nosotros [acercar]";"nosotros acercamos"
"Indicativo
Pretérito

nosotras [acercar]";"nosotras acercamos"
"Indicativo
Pretérito

vosotros [acercar]";"vosotros acercasteis"
"Indicativo
Pretérito

vosotras [acercar]";"vosotras acercasteis"
"Indicativo
Pretérito

ellos [acercar]";"ellos acercaron"
"Indicativo
Pretérito

ellas [acercar]";"ellas acercaron"
"Indicativo
Pretérito

Ustedes [acercar]";"Ustedes acercaron"
"Indicativo
Pretérito

yo [acompañar]";"yo acompañé"
"Indicativo
Pretérito

tú [acompañar]";"tú acompañaste"
"Indicativo
Pretérito

él [acompañar]";"él acompañó"
"Indicativo
Pretérito

ella [acompañar]";"ella acompañó"
"Indicativo
Pretérito

Usted [acompañar]";"Usted acompañó"
"Indicativo
Pretérito

nosotros [acompañar]";"nosotros acompañamos"
"Indicativo
Pretérito

nosotras [acompañar]";"nosotras acompañamos"
"Indicativo
Pretérito

vosotros [acompañar]";"vosotros acompañasteis"
"Indicativo
Pretérito

vosotras [acompañar]";"vosotras acompañasteis"
"Indicativo
Pretérito

ellos [acompañar]";"ellos acompañaron"
"Indicativo
Pretérito

ellas [acompañar]";"ellas acompañaron"
"Indicativo
Pretérito

Ustedes [acompañar]";"Ustedes acompañaron"
"Indicativo
Pretérito

yo [aconsejar]";"yo aconsejé"
"Indicativo
Pretérito

tú [aconsejar]";"tú aconsejaste"
"Indicativo
Pretérito

él [aconsejar]";"él aconsejó"
"Indicativo
Pretérito

ella [aconsejar]";"ella aconsejó"
"Indicativo
Pretérito

Usted [aconsejar]";"Usted aconsejó"
"Indicativo
Pretérito

nosotros [aconsejar]";"nosotros aconsejamos"
"Indicativo
Pretérito

nosotras [aconsejar]";"nosotras aconsejamos"
"Indicativo
Pretérito

vosotros [aconsejar]";"vosotros aconsejasteis"
"Indicativo
Pretérito

vosotras [aconsejar]";"vosotras aconsejasteis"
"Indicativo
Pretérito

ellos [aconsejar]";"ellos aconsejaron"
"Indicativo
Pretérito

ellas [aconsejar]";"ellas aconsejaron"
"Indicativo
Pretérito

Ustedes [aconsejar]";"Ustedes aconsejaron"
"Indicativo
Pretérito

yo [acordar]";"yo acordé"
"Indicativo
Pretérito

tú [acordar]";"tú acordaste"
"Indicativo
Pretérito

él [acordar]";"él acordó"
"Indicativo
Pretérito

ella [acordar]";"ella acordó"
"Indicativo
Pretérito

Usted [acordar]";"Usted acordó"
"Indicativo
Pretérito

nosotros [acordar]";"nosotros acordamos"
"Indicativo
Pretérito

nosotras [acordar]";"nosotras acordamos"
"Indicativo
Pretérito

vosotros [acordar]";"vosotros acordasteis"
"Indicativo
Pretérito

vosotras [acordar]";"vosotras acordasteis"
"Indicativo
Pretérito

ellos [acordar]";"ellos acordaron"
"Indicativo
Pretérito

ellas [acordar]";"ellas acordaron"
"Indicativo
Pretérito

Ustedes [acordar]";"Ustedes acordaron"
"Indicativo
Pretérito

yo [acortar]";"yo acorté"
"Indicativo
Pretérito

tú [acortar]";"tú acortaste"
"Indicativo
Pretérito

él [acortar]";"él acortó"
"Indicativo
Pretérito

ella [acortar]";"ella acortó"
"Indicativo
Pretérito

Usted [acortar]";"Usted acortó"
"Indicativo
Pretérito

nosotros [acortar]";"nosotros acortamos"
"Indicativo
Pretérito

nosotras [acortar]";"nosotras acortamos"
"Indicativo
Pretérito

vosotros [acortar]";"vosotros acortasteis"
"Indicativo
Pretérito

vosotras [acortar]";"vosotras acortasteis"
"Indicativo
Pretérito

ellos [acortar]";"ellos acortaron"
"Indicativo
Pretérito

ellas [acortar]";"ellas acortaron"
"Indicativo
Pretérito

Ustedes [acortar]";"Ustedes acortaron"
"Indicativo
Pretérito

yo [acostar]";"yo acosté"
"Indicativo
Pretérito

tú [acostar]";"tú acostaste"
"Indicativo
Pretérito

él [acostar]";"él acostó"
"Indicativo
Pretérito

ella [acostar]";"ella acostó"
"Indicativo
Pretérito

Usted [acostar]";"Usted acostó"
"Indicativo
Pretérito

nosotros [acostar]";"nosotros acostamos"
"Indicativo
Pretérito

nosotras [acostar]";"nosotras acostamos"
"Indicativo
Pretérito

vosotros [acostar]";"vosotros acostasteis"
"Indicativo
Pretérito

vosotras [acostar]";"vosotras acostasteis"
"Indicativo
Pretérito

ellos [acostar]";"ellos acostaron"
"Indicativo
Pretérito

ellas [acostar]";"ellas acostaron"
"Indicativo
Pretérito

Ustedes [acostar]";"Ustedes acostaron"
"Indicativo
Pretérito

yo [acostumbrar]";"yo acostumbré"
"Indicativo
Pretérito

tú [acostumbrar]";"tú acostumbraste"
"Indicativo
Pretérito

él [acostumbrar]";"él acostumbró"
"Indicativo
Pretérito

ella [acostumbrar]";"ella acostumbró"
"Indicativo
Pretérito

Usted [acostumbrar]";"Usted acostumbró"
"Indicativo
Pretérito

nosotros [acostumbrar]";"nosotros acostumbramos"
"Indicativo
Pretérito

nosotras [acostumbrar]";"nosotras acostumbramos"
"Indicativo
Pretérito

vosotros [acostumbrar]";"vosotros acostumbrasteis"
"Indicativo
Pretérito

vosotras [acostumbrar]";"vosotras acostumbrasteis"
"Indicativo
Pretérito

ellos [acostumbrar]";"ellos acostumbraron"
"Indicativo
Pretérito

ellas [acostumbrar]";"ellas acostumbraron"
"Indicativo
Pretérito

Ustedes [acostumbrar]";"Ustedes acostumbraron"
"Indicativo
Pretérito

yo [actuar]";"yo actué"
"Indicativo
Pretérito

tú [actuar]";"tú actuaste"
"Indicativo
Pretérito

él [actuar]";"él actuó"
"Indicativo
Pretérito

ella [actuar]";"ella actuó"
"Indicativo
Pretérito

Usted [actuar]";"Usted actuó"
"Indicativo
Pretérito

nosotros [actuar]";"nosotros actuamos"
"Indicativo
Pretérito

nosotras [actuar]";"nosotras actuamos"
"Indicativo
Pretérito

vosotros [actuar]";"vosotros actuasteis"
"Indicativo
Pretérito

vosotras [actuar]";"vosotras actuasteis"
"Indicativo
Pretérito

ellos [actuar]";"ellos actuaron"
"Indicativo
Pretérito

ellas [actuar]";"ellas actuaron"
"Indicativo
Pretérito

Ustedes [actuar]";"Ustedes actuaron"
"Indicativo
Pretérito

yo [adivinar]";"yo adiviné"
"Indicativo
Pretérito

tú [adivinar]";"tú adivinaste"
"Indicativo
Pretérito

él [adivinar]";"él adivinó"
"Indicativo
Pretérito

ella [adivinar]";"ella adivinó"
"Indicativo
Pretérito

Usted [adivinar]";"Usted adivinó"
"Indicativo
Pretérito

nosotros [adivinar]";"nosotros adivinamos"
"Indicativo
Pretérito

nosotras [adivinar]";"nosotras adivinamos"
"Indicativo
Pretérito

vosotros [adivinar]";"vosotros adivinasteis"
"Indicativo
Pretérito

vosotras [adivinar]";"vosotras adivinasteis"
"Indicativo
Pretérito

ellos [adivinar]";"ellos adivinaron"
"Indicativo
Pretérito

ellas [adivinar]";"ellas adivinaron"
"Indicativo
Pretérito

Ustedes [adivinar]";"Ustedes adivinaron"
"Indicativo
Pretérito

yo [admirar]";"yo admiré"
"Indicativo
Pretérito

tú [admirar]";"tú admiraste"
"Indicativo
Pretérito

él [admirar]";"él admiró"
"Indicativo
Pretérito

ella [admirar]";"ella admiró"
"Indicativo
Pretérito

Usted [admirar]";"Usted admiró"
"Indicativo
Pretérito

nosotros [admirar]";"nosotros admiramos"
"Indicativo
Pretérito

nosotras [admirar]";"nosotras admiramos"
"Indicativo
Pretérito

vosotros [admirar]";"vosotros admirasteis"
"Indicativo
Pretérito

vosotras [admirar]";"vosotras admirasteis"
"Indicativo
Pretérito

ellos [admirar]";"ellos admiraron"
"Indicativo
Pretérito

ellas [admirar]";"ellas admiraron"
"Indicativo
Pretérito

Ustedes [admirar]";"Ustedes admiraron"
"Indicativo
Pretérito

yo [adorar]";"yo adoré"
"Indicativo
Pretérito

tú [adorar]";"tú adoraste"
"Indicativo
Pretérito

él [adorar]";"él adoró"
"Indicativo
Pretérito

ella [adorar]";"ella adoró"
"Indicativo
Pretérito

Usted [adorar]";"Usted adoró"
"Indicativo
Pretérito

nosotros [adorar]";"nosotros adoramos"
"Indicativo
Pretérito

nosotras [adorar]";"nosotras adoramos"
"Indicativo
Pretérito

vosotros [adorar]";"vosotros adorasteis"
"Indicativo
Pretérito

vosotras [adorar]";"vosotras adorasteis"
"Indicativo
Pretérito

ellos [adorar]";"ellos adoraron"
"Indicativo
Pretérito

ellas [adorar]";"ellas adoraron"
"Indicativo
Pretérito

Ustedes [adorar]";"Ustedes adoraron"
"Indicativo
Pretérito

yo [adornar]";"yo adorné"
"Indicativo
Pretérito

tú [adornar]";"tú adornaste"
"Indicativo
Pretérito

él [adornar]";"él adornó"
"Indicativo
Pretérito

ella [adornar]";"ella adornó"
"Indicativo
Pretérito

Usted [adornar]";"Usted adornó"
"Indicativo
Pretérito

nosotros [adornar]";"nosotros adornamos"
"Indicativo
Pretérito

nosotras [adornar]";"nosotras adornamos"
"Indicativo
Pretérito

vosotros [adornar]";"vosotros adornasteis"
"Indicativo
Pretérito

vosotras [adornar]";"vosotras adornasteis"
"Indicativo
Pretérito

ellos [adornar]";"ellos adornaron"
"Indicativo
Pretérito

ellas [adornar]";"ellas adornaron"
"Indicativo
Pretérito

Ustedes [adornar]";"Ustedes adornaron"
"Indicativo
Pretérito

yo [afeitar]";"yo afeité"
"Indicativo
Pretérito

tú [afeitar]";"tú afeitaste"
"Indicativo
Pretérito

él [afeitar]";"él afeitó"
"Indicativo
Pretérito

ella [afeitar]";"ella afeitó"
"Indicativo
Pretérito

Usted [afeitar]";"Usted afeitó"
"Indicativo
Pretérito

nosotros [afeitar]";"nosotros afeitamos"
"Indicativo
Pretérito

nosotras [afeitar]";"nosotras afeitamos"
"Indicativo
Pretérito

vosotros [afeitar]";"vosotros afeitasteis"
"Indicativo
Pretérito

vosotras [afeitar]";"vosotras afeitasteis"
"Indicativo
Pretérito

ellos [afeitar]";"ellos afeitaron"
"Indicativo
Pretérito

ellas [afeitar]";"ellas afeitaron"
"Indicativo
Pretérito

Ustedes [afeitar]";"Ustedes afeitaron"
"Indicativo
Pretérito

yo [afirmar]";"yo afirmé"
"Indicativo
Pretérito

tú [afirmar]";"tú afirmaste"
"Indicativo
Pretérito

él [afirmar]";"él afirmó"
"Indicativo
Pretérito

ella [afirmar]";"ella afirmó"
"Indicativo
Pretérito

Usted [afirmar]";"Usted afirmó"
"Indicativo
Pretérito

nosotros [afirmar]";"nosotros afirmamos"
"Indicativo
Pretérito

nosotras [afirmar]";"nosotras afirmamos"
"Indicativo
Pretérito

vosotros [afirmar]";"vosotros afirmasteis"
"Indicativo
Pretérito

vosotras [afirmar]";"vosotras afirmasteis"
"Indicativo
Pretérito

ellos [afirmar]";"ellos afirmaron"
"Indicativo
Pretérito

ellas [afirmar]";"ellas afirmaron"
"Indicativo
Pretérito

Ustedes [afirmar]";"Ustedes afirmaron"
"Indicativo
Pretérito

yo [agorar]";"yo agoré"
"Indicativo
Pretérito

tú [agorar]";"tú agoraste"
"Indicativo
Pretérito

él [agorar]";"él agoró"
"Indicativo
Pretérito

ella [agorar]";"ella agoró"
"Indicativo
Pretérito

Usted [agorar]";"Usted agoró"
"Indicativo
Pretérito

nosotros [agorar]";"nosotros agoramos"
"Indicativo
Pretérito

nosotras [agorar]";"nosotras agoramos"
"Indicativo
Pretérito

vosotros [agorar]";"vosotros agorasteis"
"Indicativo
Pretérito

vosotras [agorar]";"vosotras agorasteis"
"Indicativo
Pretérito

ellos [agorar]";"ellos agoraron"
"Indicativo
Pretérito

ellas [agorar]";"ellas agoraron"
"Indicativo
Pretérito

Ustedes [agorar]";"Ustedes agoraron"
"Indicativo
Pretérito

yo [agradar]";"yo agradé"
"Indicativo
Pretérito

tú [agradar]";"tú agradaste"
"Indicativo
Pretérito

él [agradar]";"él agradó"
"Indicativo
Pretérito

ella [agradar]";"ella agradó"
"Indicativo
Pretérito

Usted [agradar]";"Usted agradó"
"Indicativo
Pretérito

nosotros [agradar]";"nosotros agradamos"
"Indicativo
Pretérito

nosotras [agradar]";"nosotras agradamos"
"Indicativo
Pretérito

vosotros [agradar]";"vosotros agradasteis"
"Indicativo
Pretérito

vosotras [agradar]";"vosotras agradasteis"
"Indicativo
Pretérito

ellos [agradar]";"ellos agradaron"
"Indicativo
Pretérito

ellas [agradar]";"ellas agradaron"
"Indicativo
Pretérito

Ustedes [agradar]";"Ustedes agradaron"
"Indicativo
Pretérito

yo [aguantar]";"yo aguanté"
"Indicativo
Pretérito

tú [aguantar]";"tú aguantaste"
"Indicativo
Pretérito

él [aguantar]";"él aguantó"
"Indicativo
Pretérito

ella [aguantar]";"ella aguantó"
"Indicativo
Pretérito

Usted [aguantar]";"Usted aguantó"
"Indicativo
Pretérito

nosotros [aguantar]";"nosotros aguantamos"
"Indicativo
Pretérito

nosotras [aguantar]";"nosotras aguantamos"
"Indicativo
Pretérito

vosotros [aguantar]";"vosotros aguantasteis"
"Indicativo
Pretérito

vosotras [aguantar]";"vosotras aguantasteis"
"Indicativo
Pretérito

ellos [aguantar]";"ellos aguantaron"
"Indicativo
Pretérito

ellas [aguantar]";"ellas aguantaron"
"Indicativo
Pretérito

Ustedes [aguantar]";"Ustedes aguantaron"
"Indicativo
Pretérito

yo [ahorcar]";"yo ahorqué"
"Indicativo
Pretérito

tú [ahorcar]";"tú ahorcaste"
"Indicativo
Pretérito

él [ahorcar]";"él ahorcó"
"Indicativo
Pretérito

ella [ahorcar]";"ella ahorcó"
"Indicativo
Pretérito

Usted [ahorcar]";"Usted ahorcó"
"Indicativo
Pretérito

nosotros [ahorcar]";"nosotros ahorcamos"
"Indicativo
Pretérito

nosotras [ahorcar]";"nosotras ahorcamos"
"Indicativo
Pretérito

vosotros [ahorcar]";"vosotros ahorcasteis"
"Indicativo
Pretérito

vosotras [ahorcar]";"vosotras ahorcasteis"
"Indicativo
Pretérito

ellos [ahorcar]";"ellos ahorcaron"
"Indicativo
Pretérito

ellas [ahorcar]";"ellas ahorcaron"
"Indicativo
Pretérito

Ustedes [ahorcar]";"Ustedes ahorcaron"
"Indicativo
Pretérito

yo [ahorrar]";"yo ahorré"
"Indicativo
Pretérito

tú [ahorrar]";"tú ahorraste"
"Indicativo
Pretérito

él [ahorrar]";"él ahorró"
"Indicativo
Pretérito

ella [ahorrar]";"ella ahorró"
"Indicativo
Pretérito

Usted [ahorrar]";"Usted ahorró"
"Indicativo
Pretérito

nosotros [ahorrar]";"nosotros ahorramos"
"Indicativo
Pretérito

nosotras [ahorrar]";"nosotras ahorramos"
"Indicativo
Pretérito

vosotros [ahorrar]";"vosotros ahorrasteis"
"Indicativo
Pretérito

vosotras [ahorrar]";"vosotras ahorrasteis"
"Indicativo
Pretérito

ellos [ahorrar]";"ellos ahorraron"
"Indicativo
Pretérito

ellas [ahorrar]";"ellas ahorraron"
"Indicativo
Pretérito

Ustedes [ahorrar]";"Ustedes ahorraron"
"Indicativo
Pretérito

yo [alcanzar]";"yo alcancé"
"Indicativo
Pretérito

tú [alcanzar]";"tú alcanzaste"
"Indicativo
Pretérito

él [alcanzar]";"él alcanzó"
"Indicativo
Pretérito

ella [alcanzar]";"ella alcanzó"
"Indicativo
Pretérito

Usted [alcanzar]";"Usted alcanzó"
"Indicativo
Pretérito

nosotros [alcanzar]";"nosotros alcanzamos"
"Indicativo
Pretérito

nosotras [alcanzar]";"nosotras alcanzamos"
"Indicativo
Pretérito

vosotros [alcanzar]";"vosotros alcanzasteis"
"Indicativo
Pretérito

vosotras [alcanzar]";"vosotras alcanzasteis"
"Indicativo
Pretérito

ellos [alcanzar]";"ellos alcanzaron"
"Indicativo
Pretérito

ellas [alcanzar]";"ellas alcanzaron"
"Indicativo
Pretérito

Ustedes [alcanzar]";"Ustedes alcanzaron"
"Indicativo
Pretérito

yo [alegrar]";"yo alegré"
"Indicativo
Pretérito

tú [alegrar]";"tú alegraste"
"Indicativo
Pretérito

él [alegrar]";"él alegró"
"Indicativo
Pretérito

ella [alegrar]";"ella alegró"
"Indicativo
Pretérito

Usted [alegrar]";"Usted alegró"
"Indicativo
Pretérito

nosotros [alegrar]";"nosotros alegramos"
"Indicativo
Pretérito

nosotras [alegrar]";"nosotras alegramos"
"Indicativo
Pretérito

vosotros [alegrar]";"vosotros alegrasteis"
"Indicativo
Pretérito

vosotras [alegrar]";"vosotras alegrasteis"
"Indicativo
Pretérito

ellos [alegrar]";"ellos alegraron"
"Indicativo
Pretérito

ellas [alegrar]";"ellas alegraron"
"Indicativo
Pretérito

Ustedes [alegrar]";"Ustedes alegraron"
"Indicativo
Pretérito

yo [alentar]";"yo alenté"
"Indicativo
Pretérito

tú [alentar]";"tú alentaste"
"Indicativo
Pretérito

él [alentar]";"él alentó"
"Indicativo
Pretérito

ella [alentar]";"ella alentó"
"Indicativo
Pretérito

Usted [alentar]";"Usted alentó"
"Indicativo
Pretérito

nosotros [alentar]";"nosotros alentamos"
"Indicativo
Pretérito

nosotras [alentar]";"nosotras alentamos"
"Indicativo
Pretérito

vosotros [alentar]";"vosotros alentasteis"
"Indicativo
Pretérito

vosotras [alentar]";"vosotras alentasteis"
"Indicativo
Pretérito

ellos [alentar]";"ellos alentaron"
"Indicativo
Pretérito

ellas [alentar]";"ellas alentaron"
"Indicativo
Pretérito

Ustedes [alentar]";"Ustedes alentaron"
"Indicativo
Pretérito

yo [aliviar]";"yo alivié"
"Indicativo
Pretérito

tú [aliviar]";"tú aliviaste"
"Indicativo
Pretérito

él [aliviar]";"él alivió"
"Indicativo
Pretérito

ella [aliviar]";"ella alivió"
"Indicativo
Pretérito

Usted [aliviar]";"Usted alivió"
"Indicativo
Pretérito

nosotros [aliviar]";"nosotros aliviamos"
"Indicativo
Pretérito

nosotras [aliviar]";"nosotras aliviamos"
"Indicativo
Pretérito

vosotros [aliviar]";"vosotros aliviasteis"
"Indicativo
Pretérito

vosotras [aliviar]";"vosotras aliviasteis"
"Indicativo
Pretérito

ellos [aliviar]";"ellos aliviaron"
"Indicativo
Pretérito

ellas [aliviar]";"ellas aliviaron"
"Indicativo
Pretérito

Ustedes [aliviar]";"Ustedes aliviaron"
"Indicativo
Pretérito

yo [almorzar]";"yo almorcé"
"Indicativo
Pretérito

tú [almorzar]";"tú almorzaste"
"Indicativo
Pretérito

él [almorzar]";"él almorzó"
"Indicativo
Pretérito

ella [almorzar]";"ella almorzó"
"Indicativo
Pretérito

Usted [almorzar]";"Usted almorzó"
"Indicativo
Pretérito

nosotros [almorzar]";"nosotros almorzamos"
"Indicativo
Pretérito

nosotras [almorzar]";"nosotras almorzamos"
"Indicativo
Pretérito

vosotros [almorzar]";"vosotros almorzasteis"
"Indicativo
Pretérito

vosotras [almorzar]";"vosotras almorzasteis"
"Indicativo
Pretérito

ellos [almorzar]";"ellos almorzaron"
"Indicativo
Pretérito

ellas [almorzar]";"ellas almorzaron"
"Indicativo
Pretérito

Ustedes [almorzar]";"Ustedes almorzaron"
"Indicativo
Pretérito

yo [alquilar]";"yo alquilé"
"Indicativo
Pretérito

tú [alquilar]";"tú alquilaste"
"Indicativo
Pretérito

él [alquilar]";"él alquiló"
"Indicativo
Pretérito

ella [alquilar]";"ella alquiló"
"Indicativo
Pretérito

Usted [alquilar]";"Usted alquiló"
"Indicativo
Pretérito

nosotros [alquilar]";"nosotros alquilamos"
"Indicativo
Pretérito

nosotras [alquilar]";"nosotras alquilamos"
"Indicativo
Pretérito

vosotros [alquilar]";"vosotros alquilasteis"
"Indicativo
Pretérito

vosotras [alquilar]";"vosotras alquilasteis"
"Indicativo
Pretérito

ellos [alquilar]";"ellos alquilaron"
"Indicativo
Pretérito

ellas [alquilar]";"ellas alquilaron"
"Indicativo
Pretérito

Ustedes [alquilar]";"Ustedes alquilaron"
"Indicativo
Pretérito

yo [amar]";"yo amé"
"Indicativo
Pretérito

tú [amar]";"tú amaste"
"Indicativo
Pretérito

él [amar]";"él amó"
"Indicativo
Pretérito

ella [amar]";"ella amó"
"Indicativo
Pretérito

Usted [amar]";"Usted amó"
"Indicativo
Pretérito

nosotros [amar]";"nosotros amamos"
"Indicativo
Pretérito

nosotras [amar]";"nosotras amamos"
"Indicativo
Pretérito

vosotros [amar]";"vosotros amasteis"
"Indicativo
Pretérito

vosotras [amar]";"vosotras amasteis"
"Indicativo
Pretérito

ellos [amar]";"ellos amaron"
"Indicativo
Pretérito

ellas [amar]";"ellas amaron"
"Indicativo
Pretérito

Ustedes [amar]";"Ustedes amaron"
"Indicativo
Pretérito

yo [amenazar]";"yo amenacé"
"Indicativo
Pretérito

tú [amenazar]";"tú amenazaste"
"Indicativo
Pretérito

él [amenazar]";"él amenazó"
"Indicativo
Pretérito

ella [amenazar]";"ella amenazó"
"Indicativo
Pretérito

Usted [amenazar]";"Usted amenazó"
"Indicativo
Pretérito

nosotros [amenazar]";"nosotros amenazamos"
"Indicativo
Pretérito

nosotras [amenazar]";"nosotras amenazamos"
"Indicativo
Pretérito

vosotros [amenazar]";"vosotros amenazasteis"
"Indicativo
Pretérito

vosotras [amenazar]";"vosotras amenazasteis"
"Indicativo
Pretérito

ellos [amenazar]";"ellos amenazaron"
"Indicativo
Pretérito

ellas [amenazar]";"ellas amenazaron"
