#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

ellas [advertir]";"ellas advierten"
"Indicativo
Presente

Ustedes [advertir]";"Ustedes advierten"
"Indicativo
Presente

yo [afligir]";"yo aflijo"
"Indicativo
Presente

tú [afligir]";"tú afliges"
"Indicativo
Presente

él [afligir]";"él aflige"
"Indicativo
Presente

ella [afligir]";"ella aflige"
"Indicativo
Presente

Usted [afligir]";"Usted aflige"
"Indicativo
Presente

nosotros [afligir]";"nosotros afligimos"
"Indicativo
Presente

nosotras [afligir]";"nosotras afligimos"
"Indicativo
Presente

vosotros [afligir]";"vosotros afligís"
"Indicativo
Presente

vosotras [afligir]";"vosotras afligís"
"Indicativo
Presente

ellos [afligir]";"ellos afligen"
"Indicativo
Presente

ellas [afligir]";"ellas afligen"
"Indicativo
Presente

Ustedes [afligir]";"Ustedes afligen"
"Indicativo
Presente

yo [agradecer]";"yo agradezco"
"Indicativo
Presente

tú [agradecer]";"tú agradeces"
"Indicativo
Presente

él [agradecer]";"él agradece"
"Indicativo
Presente

ella [agradecer]";"ella agradece"
"Indicativo
Presente

Usted [agradecer]";"Usted agradece"
"Indicativo
Presente

nosotros [agradecer]";"nosotros agradecemos"
"Indicativo
Presente

nosotras [agradecer]";"nosotras agradecemos"
"Indicativo
Presente

vosotros [agradecer]";"vosotros agradecéis"
"Indicativo
Presente

vosotras [agradecer]";"vosotras agradecéis"
"Indicativo
Presente

ellos [agradecer]";"ellos agradecen"
"Indicativo
Presente

ellas [agradecer]";"ellas agradecen"
"Indicativo
Presente

Ustedes [agradecer]";"Ustedes agradecen"
"Indicativo
Presente

yo [amanecer]";"yo amanezco"
"Indicativo
Presente

tú [amanecer]";"tú amaneces"
"Indicativo
Presente

él [amanecer]";"él amanece"
"Indicativo
Presente

ella [amanecer]";"ella amanece"
"Indicativo
Presente

Usted [amanecer]";"Usted amanece"
"Indicativo
Presente

nosotros [amanecer]";"nosotros amanecemos"
"Indicativo
Presente

nosotras [amanecer]";"nosotras amanecemos"
"Indicativo
Presente

vosotros [amanecer]";"vosotros amanecéis"
"Indicativo
Presente

vosotras [amanecer]";"vosotras amanecéis"
"Indicativo
Presente

ellos [amanecer]";"ellos amanecen"
"Indicativo
Presente

ellas [amanecer]";"ellas amanecen"
"Indicativo
Presente

Ustedes [amanecer]";"Ustedes amanecen"
"Indicativo
Presente

yo [añadir]";"yo añado"
"Indicativo
Presente

tú [añadir]";"tú añades"
"Indicativo
Presente

él [añadir]";"él añade"
"Indicativo
Presente

ella [añadir]";"ella añade"
"Indicativo
Presente

Usted [añadir]";"Usted añade"
"Indicativo
Presente

nosotros [añadir]";"nosotros añadimos"
"Indicativo
Presente

nosotras [añadir]";"nosotras añadimos"
"Indicativo
Presente

vosotros [añadir]";"vosotros añadís"
"Indicativo
Presente

vosotras [añadir]";"vosotras añadís"
"Indicativo
Presente

ellos [añadir]";"ellos añaden"
"Indicativo
Presente

ellas [añadir]";"ellas añaden"
"Indicativo
Presente

Ustedes [añadir]";"Ustedes añaden"
"Indicativo
Presente

yo [aparecer]";"yo aparezco"
"Indicativo
Presente

tú [aparecer]";"tú apareces"
"Indicativo
Presente

él [aparecer]";"él aparece"
"Indicativo
Presente

ella [aparecer]";"ella aparece"
"Indicativo
Presente

Usted [aparecer]";"Usted aparece"
"Indicativo
Presente

nosotros [aparecer]";"nosotros aparecemos"
"Indicativo
Presente

nosotras [aparecer]";"nosotras aparecemos"
"Indicativo
Presente

vosotros [aparecer]";"vosotros aparecéis"
"Indicativo
Presente

vosotras [aparecer]";"vosotras aparecéis"
"Indicativo
Presente

ellos [aparecer]";"ellos aparecen"
"Indicativo
Presente

ellas [aparecer]";"ellas aparecen"
"Indicativo
Presente

Ustedes [aparecer]";"Ustedes aparecen"
"Indicativo
Presente

yo [aplaudir]";"yo aplaudo"
"Indicativo
Presente

tú [aplaudir]";"tú aplaudes"
"Indicativo
Presente

él [aplaudir]";"él aplaude"
"Indicativo
Presente

ella [aplaudir]";"ella aplaude"
"Indicativo
Presente

Usted [aplaudir]";"Usted aplaude"
"Indicativo
Presente

nosotros [aplaudir]";"nosotros aplaudimos"
"Indicativo
Presente

nosotras [aplaudir]";"nosotras aplaudimos"
"Indicativo
Presente

vosotros [aplaudir]";"vosotros aplaudís"
"Indicativo
Presente

vosotras [aplaudir]";"vosotras aplaudís"
"Indicativo
Presente

ellos [aplaudir]";"ellos aplauden"
"Indicativo
Presente

ellas [aplaudir]";"ellas aplauden"
"Indicativo
Presente

Ustedes [aplaudir]";"Ustedes aplauden"
"Indicativo
Presente

yo [aprender]";"yo aprendo"
"Indicativo
Presente

tú [aprender]";"tú aprendes"
"Indicativo
Presente

él [aprender]";"él aprende"
"Indicativo
Presente

ella [aprender]";"ella aprende"
"Indicativo
Presente

Usted [aprender]";"Usted aprende"
"Indicativo
Presente

nosotros [aprender]";"nosotros aprendemos"
"Indicativo
Presente

nosotras [aprender]";"nosotras aprendemos"
"Indicativo
Presente

vosotros [aprender]";"vosotros aprendéis"
"Indicativo
Presente

vosotras [aprender]";"vosotras aprendéis"
"Indicativo
Presente

ellos [aprender]";"ellos aprenden"
"Indicativo
Presente

ellas [aprender]";"ellas aprenden"
"Indicativo
Presente

Ustedes [aprender]";"Ustedes aprenden"
"Indicativo
Presente

yo [asistir]";"yo asisto"
"Indicativo
Presente

tú [asistir]";"tú asistes"
"Indicativo
Presente

él [asistir]";"él asiste"
"Indicativo
Presente

ella [asistir]";"ella asiste"
"Indicativo
Presente

Usted [asistir]";"Usted asiste"
"Indicativo
Presente

nosotros [asistir]";"nosotros asistimos"
"Indicativo
Presente

nosotras [asistir]";"nosotras asistimos"
"Indicativo
Presente

vosotros [asistir]";"vosotros asistís"
"Indicativo
Presente

vosotras [asistir]";"vosotras asistís"
"Indicativo
Presente

ellos [asistir]";"ellos asisten"
"Indicativo
Presente

ellas [asistir]";"ellas asisten"
"Indicativo
Presente

Ustedes [asistir]";"Ustedes asisten"
"Indicativo
Presente

yo [atender]";"yo atiendo"
"Indicativo
Presente

tú [atender]";"tú atiendes"
"Indicativo
Presente

él [atender]";"él atiende"
"Indicativo
Presente

ella [atender]";"ella atiende"
"Indicativo
Presente

Usted [atender]";"Usted atiende"
"Indicativo
Presente

nosotros [atender]";"nosotros atendemos"
"Indicativo
Presente

nosotras [atender]";"nosotras atendemos"
"Indicativo
Presente

vosotros [atender]";"vosotros atendéis"
"Indicativo
Presente

vosotras [atender]";"vosotras atendéis"
"Indicativo
Presente

ellos [atender]";"ellos atienden"
"Indicativo
Presente

ellas [atender]";"ellas atienden"
"Indicativo
Presente

Ustedes [atender]";"Ustedes atienden"
"Indicativo
Presente

yo [atraer]";"yo atraigo"
"Indicativo
Presente

tú [atraer]";"tú atraes"
"Indicativo
Presente

él [atraer]";"él atrae"
"Indicativo
Presente

ella [atraer]";"ella atrae"
"Indicativo
Presente

Usted [atraer]";"Usted atrae"
"Indicativo
Presente

nosotros [atraer]";"nosotros atraemos"
"Indicativo
Presente

nosotras [atraer]";"nosotras atraemos"
"Indicativo
Presente

vosotros [atraer]";"vosotros atraéis"
"Indicativo
Presente

vosotras [atraer]";"vosotras atraéis"
"Indicativo
Presente

ellos [atraer]";"ellos atraen"
"Indicativo
Presente

ellas [atraer]";"ellas atraen"
"Indicativo
Presente

Ustedes [atraer]";"Ustedes atraen"
"Indicativo
Presente

yo [barrer]";"yo barro"
"Indicativo
Presente

tú [barrer]";"tú barres"
"Indicativo
Presente

él [barrer]";"él barre"
"Indicativo
Presente

ella [barrer]";"ella barre"
"Indicativo
Presente

Usted [barrer]";"Usted barre"
"Indicativo
Presente

nosotros [barrer]";"nosotros barremos"
"Indicativo
Presente

nosotras [barrer]";"nosotras barremos"
"Indicativo
Presente

vosotros [barrer]";"vosotros barréis"
"Indicativo
Presente

vosotras [barrer]";"vosotras barréis"
"Indicativo
Presente

ellos [barrer]";"ellos barren"
"Indicativo
Presente

ellas [barrer]";"ellas barren"
"Indicativo
Presente

Ustedes [barrer]";"Ustedes barren"
"Indicativo
Presente

yo [batir]";"yo bato"
"Indicativo
Presente

tú [batir]";"tú bates"
"Indicativo
Presente

él [batir]";"él bate"
"Indicativo
Presente

ella [batir]";"ella bate"
"Indicativo
Presente

Usted [batir]";"Usted bate"
"Indicativo
Presente

nosotros [batir]";"nosotros batimos"
"Indicativo
Presente

nosotras [batir]";"nosotras batimos"
"Indicativo
Presente

vosotros [batir]";"vosotros batís"
"Indicativo
Presente

vosotras [batir]";"vosotras batís"
"Indicativo
Presente

ellos [batir]";"ellos baten"
"Indicativo
Presente

ellas [batir]";"ellas baten"
"Indicativo
Presente

Ustedes [batir]";"Ustedes baten"
"Indicativo
Presente

yo [beber]";"yo bebo"
"Indicativo
Presente

tú [beber]";"tú bebes"
"Indicativo
Presente

él [beber]";"él bebe"
"Indicativo
Presente

ella [beber]";"ella bebe"
"Indicativo
Presente

Usted [beber]";"Usted bebe"
"Indicativo
Presente

nosotros [beber]";"nosotros bebemos"
"Indicativo
Presente

nosotras [beber]";"nosotras bebemos"
"Indicativo
Presente

vosotros [beber]";"vosotros bebéis"
"Indicativo
Presente

vosotras [beber]";"vosotras bebéis"
"Indicativo
Presente

ellos [beber]";"ellos beben"
"Indicativo
Presente

ellas [beber]";"ellas beben"
"Indicativo
Presente

Ustedes [beber]";"Ustedes beben"
"Indicativo
Presente

yo [bendecir]";"yo bendigo"
"Indicativo
Presente

tú [bendecir]";"tú bendices"
"Indicativo
Presente

él [bendecir]";"él bendice"
"Indicativo
Presente

ella [bendecir]";"ella bendice"
"Indicativo
Presente

Usted [bendecir]";"Usted bendice"
"Indicativo
Presente

nosotros [bendecir]";"nosotros bendecimos"
"Indicativo
Presente

nosotras [bendecir]";"nosotras bendecimos"
"Indicativo
Presente

vosotros [bendecir]";"vosotros bendecís"
"Indicativo
Presente

vosotras [bendecir]";"vosotras bendecís"
"Indicativo
Presente

ellos [bendecir]";"ellos bendicen"
"Indicativo
Presente

ellas [bendecir]";"ellas bendicen"
"Indicativo
Presente

Ustedes [bendecir]";"Ustedes bendicen"
"Indicativo
Presente

yo [caber]";"yo quepo"
"Indicativo
Presente

tú [caber]";"tú cabes"
"Indicativo
Presente

él [caber]";"él cabe"
"Indicativo
Presente

ella [caber]";"ella cabe"
"Indicativo
Presente

Usted [caber]";"Usted cabe"
"Indicativo
Presente

nosotros [caber]";"nosotros cabemos"
"Indicativo
Presente

nosotras [caber]";"nosotras cabemos"
"Indicativo
Presente

vosotros [caber]";"vosotros cabéis"
"Indicativo
Presente

vosotras [caber]";"vosotras cabéis"
"Indicativo
Presente

ellos [caber]";"ellos caben"
"Indicativo
Presente

ellas [caber]";"ellas caben"
"Indicativo
Presente

Ustedes [caber]";"Ustedes caben"
"Indicativo
Presente

yo [caer]";"yo caigo"
"Indicativo
Presente

tú [caer]";"tú caes"
"Indicativo
Presente

él [caer]";"él cae"
"Indicativo
Presente

ella [caer]";"ella cae"
"Indicativo
Presente

Usted [caer]";"Usted cae"
"Indicativo
Presente

nosotros [caer]";"nosotros caemos"
"Indicativo
Presente

nosotras [caer]";"nosotras caemos"
"Indicativo
Presente

vosotros [caer]";"vosotros caéis"
"Indicativo
Presente

vosotras [caer]";"vosotras caéis"
"Indicativo
Presente

ellos [caer]";"ellos caen"
"Indicativo
Presente

ellas [caer]";"ellas caen"
"Indicativo
Presente

Ustedes [caer]";"Ustedes caen"
"Indicativo
Presente

yo [coger]";"yo cojo"
"Indicativo
Presente

tú [coger]";"tú coges"
"Indicativo
Presente

él [coger]";"él coge"
"Indicativo
Presente

ella [coger]";"ella coge"
"Indicativo
Presente

Usted [coger]";"Usted coge"
"Indicativo
Presente

nosotros [coger]";"nosotros cogemos"
"Indicativo
Presente

nosotras [coger]";"nosotras cogemos"
"Indicativo
Presente

vosotros [coger]";"vosotros cogéis"
"Indicativo
Presente

vosotras [coger]";"vosotras cogéis"
"Indicativo
Presente

ellos [coger]";"ellos cogen"
"Indicativo
Presente

ellas [coger]";"ellas cogen"
"Indicativo
Presente

Ustedes [coger]";"Ustedes cogen"
"Indicativo
Presente

yo [combatir]";"yo combato"
"Indicativo
Presente

tú [combatir]";"tú combates"
"Indicativo
Presente

él [combatir]";"él combate"
"Indicativo
Presente

ella [combatir]";"ella combate"
"Indicativo
Presente

Usted [combatir]";"Usted combate"
"Indicativo
Presente

nosotros [combatir]";"nosotros combatimos"
"Indicativo
Presente

nosotras [combatir]";"nosotras combatimos"
"Indicativo
Presente

vosotros [combatir]";"vosotros combatís"
"Indicativo
Presente

vosotras [combatir]";"vosotras combatís"
"Indicativo
Presente

ellos [combatir]";"ellos combaten"
"Indicativo
Presente

ellas [combatir]";"ellas combaten"
"Indicativo
Presente

Ustedes [combatir]";"Ustedes combaten"
"Indicativo
Presente

yo [comer]";"yo como"
"Indicativo
Presente

tú [comer]";"tú comes"
"Indicativo
Presente

él [comer]";"él come"
"Indicativo
Presente

ella [comer]";"ella come"
"Indicativo
Presente

Usted [comer]";"Usted come"
"Indicativo
Presente

nosotros [comer]";"nosotros comemos"
"Indicativo
Presente

nosotras [comer]";"nosotras comemos"
"Indicativo
Presente

vosotros [comer]";"vosotros coméis"
"Indicativo
Presente

vosotras [comer]";"vosotras coméis"
"Indicativo
Presente

ellos [comer]";"ellos comen"
"Indicativo
Presente

ellas [comer]";"ellas comen"
"Indicativo
Presente

Ustedes [comer]";"Ustedes comen"
"Indicativo
Presente

yo [competir]";"yo compito"
"Indicativo
Presente

tú [competir]";"tú compites"
"Indicativo
Presente

él [competir]";"él compite"
"Indicativo
Presente

ella [competir]";"ella compite"
"Indicativo
Presente

Usted [competir]";"Usted compite"
"Indicativo
Presente

nosotros [competir]";"nosotros competimos"
"Indicativo
Presente

nosotras [competir]";"nosotras competimos"
"Indicativo
Presente

vosotros [competir]";"vosotros competís"
"Indicativo
Presente

vosotras [competir]";"vosotras competís"
"Indicativo
Presente

ellos [competir]";"ellos compiten"
"Indicativo
Presente

ellas [competir]";"ellas compiten"
"Indicativo
Presente

Ustedes [competir]";"Ustedes compiten"
"Indicativo
Presente

yo [componer]";"yo compongo"
"Indicativo
Presente

tú [componer]";"tú compones"
"Indicativo
Presente

él [componer]";"él compone"
"Indicativo
Presente

ella [componer]";"ella compone"
"Indicativo
Presente

Usted [componer]";"Usted compone"
"Indicativo
Presente

nosotros [componer]";"nosotros componemos"
"Indicativo
Presente

nosotras [componer]";"nosotras componemos"
"Indicativo
Presente

vosotros [componer]";"vosotros componéis"
"Indicativo
Presente

vosotras [componer]";"vosotras componéis"
"Indicativo
Presente

ellos [componer]";"ellos componen"
"Indicativo
Presente

ellas [componer]";"ellas componen"
"Indicativo
Presente

Ustedes [componer]";"Ustedes componen"
"Indicativo
Presente

yo [comprender]";"yo comprendo"
"Indicativo
Presente

tú [comprender]";"tú comprendes"
"Indicativo
Presente

él [comprender]";"él comprende"
"Indicativo
Presente

ella [comprender]";"ella comprende"
"Indicativo
Presente

Usted [comprender]";"Usted comprende"
"Indicativo
Presente

nosotros [comprender]";"nosotros comprendemos"
"Indicativo
Presente

nosotras [comprender]";"nosotras comprendemos"
"Indicativo
Presente

vosotros [comprender]";"vosotros comprendéis"
"Indicativo
Presente

vosotras [comprender]";"vosotras comprendéis"
"Indicativo
Presente

ellos [comprender]";"ellos comprenden"
"Indicativo
Presente

ellas [comprender]";"ellas comprenden"
"Indicativo
Presente

Ustedes [comprender]";"Ustedes comprenden"
"Indicativo
Presente

yo [conducir]";"yo conduzco"
"Indicativo
Presente

tú [conducir]";"tú conduces"
"Indicativo
Presente

él [conducir]";"él conduce"
"Indicativo
Presente

ella [conducir]";"ella conduce"
"Indicativo
Presente

Usted [conducir]";"Usted conduce"
"Indicativo
Presente

nosotros [conducir]";"nosotros conducimos"
"Indicativo
Presente

nosotras [conducir]";"nosotras conducimos"
"Indicativo
Presente

vosotros [conducir]";"vosotros conducís"
"Indicativo
Presente

vosotras [conducir]";"vosotras conducís"
"Indicativo
Presente

ellos [conducir]";"ellos conducen"
"Indicativo
Presente

ellas [conducir]";"ellas conducen"
"Indicativo
Presente

Ustedes [conducir]";"Ustedes conducen"
"Indicativo
Presente

yo [compartir]";"yo comparto"
"Indicativo
Presente

tú [compartir]";"tú compartes"
"Indicativo
Presente

él [compartir]";"él comparte"
"Indicativo
Presente

ella [compartir]";"ella comparte"
"Indicativo
Presente

Usted [compartir]";"Usted comparte"
"Indicativo
Presente

nosotros [compartir]";"nosotros compartimos"
"Indicativo
Presente

nosotras [compartir]";"nosotras compartimos"
"Indicativo
Presente

vosotros [compartir]";"vosotros compartís"
"Indicativo
Presente

vosotras [compartir]";"vosotras compartís"
"Indicativo
Presente

ellos [compartir]";"ellos comparten"
"Indicativo
Presente

ellas [compartir]";"ellas comparten"
"Indicativo
Presente

Ustedes [compartir]";"Ustedes comparten"
"Indicativo
Presente

yo [conocer]";"yo conozco"
"Indicativo
Presente

tú [conocer]";"tú conoces"
"Indicativo
Presente

él [conocer]";"él conoce"
"Indicativo
Presente

ella [conocer]";"ella conoce"
"Indicativo
Presente

Usted [conocer]";"Usted conoce"
"Indicativo
Presente

nosotros [conocer]";"nosotros conocemos"
"Indicativo
Presente

nosotras [conocer]";"nosotras conocemos"
"Indicativo
Presente

vosotros [conocer]";"vosotros conocéis"
"Indicativo
Presente

vosotras [conocer]";"vosotras conocéis"
"Indicativo
Presente

ellos [conocer]";"ellos conocen"
"Indicativo
Presente

ellas [conocer]";"ellas conocen"
"Indicativo
Presente

Ustedes [conocer]";"Ustedes conocen"
"Indicativo
Presente

yo [conseguir]";"yo consigo"
"Indicativo
Presente

tú [conseguir]";"tú consigues"
"Indicativo
Presente

él [conseguir]";"él consigue"
"Indicativo
Presente

ella [conseguir]";"ella consigue"
"Indicativo
Presente

Usted [conseguir]";"Usted consigue"
"Indicativo
Presente

nosotros [conseguir]";"nosotros conseguimos"
"Indicativo
Presente

nosotras [conseguir]";"nosotras conseguimos"
"Indicativo
Presente

vosotros [conseguir]";"vosotros conseguís"
"Indicativo
Presente

vosotras [conseguir]";"vosotras conseguís"
"Indicativo
Presente

ellos [conseguir]";"ellos consiguen"
"Indicativo
Presente

ellas [conseguir]";"ellas consiguen"
"Indicativo
Presente

Ustedes [conseguir]";"Ustedes consiguen"
"Indicativo
Presente

yo [consentir]";"yo consiento"
"Indicativo
Presente

tú [consentir]";"tú consientes"
"Indicativo
Presente

él [consentir]";"él consiente"
"Indicativo
Presente

ella [consentir]";"ella consiente"
"Indicativo
Presente

Usted [consentir]";"Usted consiente"
"Indicativo
Presente

nosotros [consentir]";"nosotros consentimos"
"Indicativo
Presente

nosotras [consentir]";"nosotras consentimos"
"Indicativo
Presente

vosotros [consentir]";"vosotros consentís"
"Indicativo
Presente

vosotras [consentir]";"vosotras consentís"
"Indicativo
Presente

ellos [consentir]";"ellos consienten"
"Indicativo
Presente

ellas [consentir]";"ellas consienten"
"Indicativo
Presente

Ustedes [consentir]";"Ustedes consienten"
"Indicativo
Presente

yo [consistir]";"yo consisto"
"Indicativo
Presente

tú [consistir]";"tú consistes"
"Indicativo
Presente

él [consistir]";"él consiste"
"Indicativo
Presente

ella [consistir]";"ella consiste"
"Indicativo
Presente

Usted [consistir]";"Usted consiste"
"Indicativo
Presente

nosotros [consistir]";"nosotros consistimos"
"Indicativo
Presente

nosotras [consistir]";"nosotras consistimos"
"Indicativo
Presente

vosotros [consistir]";"vosotros consistís"
"Indicativo
Presente

vosotras [consistir]";"vosotras consistís"
"Indicativo
Presente

ellos [consistir]";"ellos consisten"
"Indicativo
Presente

ellas [consistir]";"ellas consisten"
"Indicativo
Presente

Ustedes [consistir]";"Ustedes consisten"
"Indicativo
Presente

yo [constituir]";"yo constituyo"
"Indicativo
Presente

tú [constituir]";"tú constituyes"
"Indicativo
Presente

él [constituir]";"él constituye"
"Indicativo
Presente

ella [constituir]";"ella constituye"
"Indicativo
Presente

Usted [constituir]";"Usted constituye"
"Indicativo
Presente

nosotros [constituir]";"nosotros constituimos"
"Indicativo
Presente

nosotras [constituir]";"nosotras constituimos"
"Indicativo
Presente

vosotros [constituir]";"vosotros constituís"
"Indicativo
Presente

vosotras [constituir]";"vosotras constituís"
"Indicativo
Presente

ellos [constituir]";"ellos constituyen"
"Indicativo
Presente

ellas [constituir]";"ellas constituyen"
"Indicativo
Presente

Ustedes [constituir]";"Ustedes constituyen"
"Indicativo
Presente

yo [construir]";"yo construyo"
"Indicativo
Presente

tú [construir]";"tú construyes"
"Indicativo
Presente

él [construir]";"él construye"
"Indicativo
Presente

ella [construir]";"ella construye"
"Indicativo
Presente

Usted [construir]";"Usted construye"
"Indicativo
Presente

nosotros [construir]";"nosotros construimos"
"Indicativo
Presente

nosotras [construir]";"nosotras construimos"
"Indicativo
Presente

vosotros [construir]";"vosotros construís"
"Indicativo
Presente

vosotras [construir]";"vosotras construís"
"Indicativo
Presente

ellos [construir]";"ellos construyen"
"Indicativo
Presente

ellas [construir]";"ellas construyen"
"Indicativo
Presente

Ustedes [construir]";"Ustedes construyen"
"Indicativo
Presente

yo [consumir]";"yo consumo"
"Indicativo
Presente

tú [consumir]";"tú consumes"
"Indicativo
Presente

él [consumir]";"él consume"
"Indicativo
Presente

ella [consumir]";"ella consume"
"Indicativo
Presente

Usted [consumir]";"Usted consume"
"Indicativo
Presente

nosotros [consumir]";"nosotros consumimos"
"Indicativo
Presente

nosotras [consumir]";"nosotras consumimos"
"Indicativo
Presente

vosotros [consumir]";"vosotros consumís"
"Indicativo
Presente

vosotras [consumir]";"vosotras consumís"
"Indicativo
Presente

ellos [consumir]";"ellos consumen"
"Indicativo
Presente

ellas [consumir]";"ellas consumen"
"Indicativo
Presente

Ustedes [consumir]";"Ustedes consumen"
"Indicativo
Presente

yo [contener]";"yo contengo"
"Indicativo
Presente

tú [contener]";"tú contienes"
"Indicativo
Presente

él [contener]";"él contiene"
"Indicativo
Presente

ella [contener]";"ella contiene"
"Indicativo
Presente

Usted [contener]";"Usted contiene"
"Indicativo
Presente

nosotros [contener]";"nosotros contenemos"
"Indicativo
Presente

nosotras [contener]";"nosotras contenemos"
"Indicativo
Presente

vosotros [contener]";"vosotros contenéis"
"Indicativo
Presente

vosotras [contener]";"vosotras contenéis"
"Indicativo
Presente

ellos [contener]";"ellos contienen"
"Indicativo
Presente

ellas [contener]";"ellas contienen"
"Indicativo
Presente

Ustedes [contener]";"Ustedes contienen"
"Indicativo
Presente

yo [contribuir]";"yo contribuyo"
"Indicativo
Presente

tú [contribuir]";"tú contribuyes"
"Indicativo
Presente

él [contribuir]";"él contribuye"
"Indicativo
Presente

ella [contribuir]";"ella contribuye"
"Indicativo
Presente

Usted [contribuir]";"Usted contribuye"
"Indicativo
Presente

nosotros [contribuir]";"nosotros contribuimos"
"Indicativo
Presente

nosotras [contribuir]";"nosotras contribuimos"
"Indicativo
Presente

vosotros [contribuir]";"vosotros contribuís"
"Indicativo
Presente

vosotras [contribuir]";"vosotras contribuís"
"Indicativo
Presente

ellos [contribuir]";"ellos contribuyen"
"Indicativo
Presente

ellas [contribuir]";"ellas contribuyen"
"Indicativo
Presente

Ustedes [contribuir]";"Ustedes contribuyen"
"Indicativo
Presente

yo [convencer]";"yo convenzo"
"Indicativo
Presente

tú [convencer]";"tú convences"
"Indicativo
Presente

él [convencer]";"él convence"
"Indicativo
Presente

ella [convencer]";"ella convence"
"Indicativo
Presente

Usted [convencer]";"Usted convence"
"Indicativo
Presente

nosotros [convencer]";"nosotros convencemos"
"Indicativo
Presente

nosotras [convencer]";"nosotras convencemos"
"Indicativo
Presente

vosotros [convencer]";"vosotros convencéis"
"Indicativo
Presente

vosotras [convencer]";"vosotras convencéis"
"Indicativo
Presente

ellos [convencer]";"ellos convencen"
"Indicativo
Presente

ellas [convencer]";"ellas convencen"
"Indicativo
Presente

Ustedes [convencer]";"Ustedes convencen"
"Indicativo
Presente

yo [convenir]";"yo convengo"
"Indicativo
Presente

tú [convenir]";"tú convienes"
"Indicativo
Presente

él [convenir]";"él conviene"
"Indicativo
Presente

ella [convenir]";"ella conviene"
"Indicativo
Presente

Usted [convenir]";"Usted conviene"
"Indicativo
Presente

nosotros [convenir]";"nosotros convenimos"
