#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

ellos [admitir]";"ellos admitieron"
"Indicativo
Pretérito

ellas [admitir]";"ellas admitieron"
"Indicativo
Pretérito

Ustedes [admitir]";"Ustedes admitieron"
"Indicativo
Pretérito

yo [advertir]";"yo advertí"
"Indicativo
Pretérito

tú [advertir]";"tú advertiste"
"Indicativo
Pretérito

él [advertir]";"él advirtió"
"Indicativo
Pretérito

ella [advertir]";"ella advirtió"
"Indicativo
Pretérito

Usted [advertir]";"Usted advirtió"
"Indicativo
Pretérito

nosotros [advertir]";"nosotros advertimos"
"Indicativo
Pretérito

nosotras [advertir]";"nosotras advertimos"
"Indicativo
Pretérito

vosotros [advertir]";"vosotros advertisteis"
"Indicativo
Pretérito

vosotras [advertir]";"vosotras advertisteis"
"Indicativo
Pretérito

ellos [advertir]";"ellos advirtieron"
"Indicativo
Pretérito

ellas [advertir]";"ellas advirtieron"
"Indicativo
Pretérito

Ustedes [advertir]";"Ustedes advirtieron"
"Indicativo
Pretérito

yo [afligir]";"yo afligí"
"Indicativo
Pretérito

tú [afligir]";"tú afligiste"
"Indicativo
Pretérito

él [afligir]";"él afligió"
"Indicativo
Pretérito

ella [afligir]";"ella afligió"
"Indicativo
Pretérito

Usted [afligir]";"Usted afligió"
"Indicativo
Pretérito

nosotros [afligir]";"nosotros afligimos"
"Indicativo
Pretérito

nosotras [afligir]";"nosotras afligimos"
"Indicativo
Pretérito

vosotros [afligir]";"vosotros afligisteis"
"Indicativo
Pretérito

vosotras [afligir]";"vosotras afligisteis"
"Indicativo
Pretérito

ellos [afligir]";"ellos afligieron"
"Indicativo
Pretérito

ellas [afligir]";"ellas afligieron"
"Indicativo
Pretérito

Ustedes [afligir]";"Ustedes afligieron"
"Indicativo
Pretérito

yo [agradecer]";"yo agradecí"
"Indicativo
Pretérito

tú [agradecer]";"tú agradeciste"
"Indicativo
Pretérito

él [agradecer]";"él agradeció"
"Indicativo
Pretérito

ella [agradecer]";"ella agradeció"
"Indicativo
Pretérito

Usted [agradecer]";"Usted agradeció"
"Indicativo
Pretérito

nosotros [agradecer]";"nosotros agradecimos"
"Indicativo
Pretérito

nosotras [agradecer]";"nosotras agradecimos"
"Indicativo
Pretérito

vosotros [agradecer]";"vosotros agradecisteis"
"Indicativo
Pretérito

vosotras [agradecer]";"vosotras agradecisteis"
"Indicativo
Pretérito

ellos [agradecer]";"ellos agradecieron"
"Indicativo
Pretérito

ellas [agradecer]";"ellas agradecieron"
"Indicativo
Pretérito

Ustedes [agradecer]";"Ustedes agradecieron"
"Indicativo
Pretérito

yo [amanecer]";"yo amanecí"
"Indicativo
Pretérito

tú [amanecer]";"tú amaneciste"
"Indicativo
Pretérito

él [amanecer]";"él amaneció"
"Indicativo
Pretérito

ella [amanecer]";"ella amaneció"
"Indicativo
Pretérito

Usted [amanecer]";"Usted amaneció"
"Indicativo
Pretérito

nosotros [amanecer]";"nosotros amanecimos"
"Indicativo
Pretérito

nosotras [amanecer]";"nosotras amanecimos"
"Indicativo
Pretérito

vosotros [amanecer]";"vosotros amanecisteis"
"Indicativo
Pretérito

vosotras [amanecer]";"vosotras amanecisteis"
"Indicativo
Pretérito

ellos [amanecer]";"ellos amanecieron"
"Indicativo
Pretérito

ellas [amanecer]";"ellas amanecieron"
"Indicativo
Pretérito

Ustedes [amanecer]";"Ustedes amanecieron"
"Indicativo
Pretérito

yo [añadir]";"yo añadí"
"Indicativo
Pretérito

tú [añadir]";"tú añadiste"
"Indicativo
Pretérito

él [añadir]";"él añadió"
"Indicativo
Pretérito

ella [añadir]";"ella añadió"
"Indicativo
Pretérito

Usted [añadir]";"Usted añadió"
"Indicativo
Pretérito

nosotros [añadir]";"nosotros añadimos"
"Indicativo
Pretérito

nosotras [añadir]";"nosotras añadimos"
"Indicativo
Pretérito

vosotros [añadir]";"vosotros añadisteis"
"Indicativo
Pretérito

vosotras [añadir]";"vosotras añadisteis"
"Indicativo
Pretérito

ellos [añadir]";"ellos añadieron"
"Indicativo
Pretérito

ellas [añadir]";"ellas añadieron"
"Indicativo
Pretérito

Ustedes [añadir]";"Ustedes añadieron"
"Indicativo
Pretérito

yo [aparecer]";"yo aparecí"
"Indicativo
Pretérito

tú [aparecer]";"tú apareciste"
"Indicativo
Pretérito

él [aparecer]";"él apareció"
"Indicativo
Pretérito

ella [aparecer]";"ella apareció"
"Indicativo
Pretérito

Usted [aparecer]";"Usted apareció"
"Indicativo
Pretérito

nosotros [aparecer]";"nosotros aparecimos"
"Indicativo
Pretérito

nosotras [aparecer]";"nosotras aparecimos"
"Indicativo
Pretérito

vosotros [aparecer]";"vosotros aparecisteis"
"Indicativo
Pretérito

vosotras [aparecer]";"vosotras aparecisteis"
"Indicativo
Pretérito

ellos [aparecer]";"ellos aparecieron"
"Indicativo
Pretérito

ellas [aparecer]";"ellas aparecieron"
"Indicativo
Pretérito

Ustedes [aparecer]";"Ustedes aparecieron"
"Indicativo
Pretérito

yo [aplaudir]";"yo aplaudí"
"Indicativo
Pretérito

tú [aplaudir]";"tú aplaudiste"
"Indicativo
Pretérito

él [aplaudir]";"él aplaudió"
"Indicativo
Pretérito

ella [aplaudir]";"ella aplaudió"
"Indicativo
Pretérito

Usted [aplaudir]";"Usted aplaudió"
"Indicativo
Pretérito

nosotros [aplaudir]";"nosotros aplaudimos"
"Indicativo
Pretérito

nosotras [aplaudir]";"nosotras aplaudimos"
"Indicativo
Pretérito

vosotros [aplaudir]";"vosotros aplaudisteis"
"Indicativo
Pretérito

vosotras [aplaudir]";"vosotras aplaudisteis"
"Indicativo
Pretérito

ellos [aplaudir]";"ellos aplaudieron"
"Indicativo
Pretérito

ellas [aplaudir]";"ellas aplaudieron"
"Indicativo
Pretérito

Ustedes [aplaudir]";"Ustedes aplaudieron"
"Indicativo
Pretérito

yo [aprender]";"yo aprendí"
"Indicativo
Pretérito

tú [aprender]";"tú aprendiste"
"Indicativo
Pretérito

él [aprender]";"él aprendió"
"Indicativo
Pretérito

ella [aprender]";"ella aprendió"
"Indicativo
Pretérito

Usted [aprender]";"Usted aprendió"
"Indicativo
Pretérito

nosotros [aprender]";"nosotros aprendimos"
"Indicativo
Pretérito

nosotras [aprender]";"nosotras aprendimos"
"Indicativo
Pretérito

vosotros [aprender]";"vosotros aprendisteis"
"Indicativo
Pretérito

vosotras [aprender]";"vosotras aprendisteis"
"Indicativo
Pretérito

ellos [aprender]";"ellos aprendieron"
"Indicativo
Pretérito

ellas [aprender]";"ellas aprendieron"
"Indicativo
Pretérito

Ustedes [aprender]";"Ustedes aprendieron"
"Indicativo
Pretérito

yo [asistir]";"yo asistí"
"Indicativo
Pretérito

tú [asistir]";"tú asististe"
"Indicativo
Pretérito

él [asistir]";"él asistió"
"Indicativo
Pretérito

ella [asistir]";"ella asistió"
"Indicativo
Pretérito

Usted [asistir]";"Usted asistió"
"Indicativo
Pretérito

nosotros [asistir]";"nosotros asistimos"
"Indicativo
Pretérito

nosotras [asistir]";"nosotras asistimos"
"Indicativo
Pretérito

vosotros [asistir]";"vosotros asististeis"
"Indicativo
Pretérito

vosotras [asistir]";"vosotras asististeis"
"Indicativo
Pretérito

ellos [asistir]";"ellos asistieron"
"Indicativo
Pretérito

ellas [asistir]";"ellas asistieron"
"Indicativo
Pretérito

Ustedes [asistir]";"Ustedes asistieron"
"Indicativo
Pretérito

yo [atender]";"yo atendí"
"Indicativo
Pretérito

tú [atender]";"tú atendiste"
"Indicativo
Pretérito

él [atender]";"él atendió"
"Indicativo
Pretérito

ella [atender]";"ella atendió"
"Indicativo
Pretérito

Usted [atender]";"Usted atendió"
"Indicativo
Pretérito

nosotros [atender]";"nosotros atendimos"
"Indicativo
Pretérito

nosotras [atender]";"nosotras atendimos"
"Indicativo
Pretérito

vosotros [atender]";"vosotros atendisteis"
"Indicativo
Pretérito

vosotras [atender]";"vosotras atendisteis"
"Indicativo
Pretérito

ellos [atender]";"ellos atendieron"
"Indicativo
Pretérito

ellas [atender]";"ellas atendieron"
"Indicativo
Pretérito

Ustedes [atender]";"Ustedes atendieron"
"Indicativo
Pretérito

yo [atraer]";"yo atraje"
"Indicativo
Pretérito

tú [atraer]";"tú atrajiste"
"Indicativo
Pretérito

él [atraer]";"él atrajo"
"Indicativo
Pretérito

ella [atraer]";"ella atrajo"
"Indicativo
Pretérito

Usted [atraer]";"Usted atrajo"
"Indicativo
Pretérito

nosotros [atraer]";"nosotros atrajimos"
"Indicativo
Pretérito

nosotras [atraer]";"nosotras atrajimos"
"Indicativo
Pretérito

vosotros [atraer]";"vosotros atrajisteis"
"Indicativo
Pretérito

vosotras [atraer]";"vosotras atrajisteis"
"Indicativo
Pretérito

ellos [atraer]";"ellos atrajeron"
"Indicativo
Pretérito

ellas [atraer]";"ellas atrajeron"
"Indicativo
Pretérito

Ustedes [atraer]";"Ustedes atrajeron"
"Indicativo
Pretérito

yo [barrer]";"yo barrí"
"Indicativo
Pretérito

tú [barrer]";"tú barriste"
"Indicativo
Pretérito

él [barrer]";"él barrió"
"Indicativo
Pretérito

ella [barrer]";"ella barrió"
"Indicativo
Pretérito

Usted [barrer]";"Usted barrió"
"Indicativo
Pretérito

nosotros [barrer]";"nosotros barrimos"
"Indicativo
Pretérito

nosotras [barrer]";"nosotras barrimos"
"Indicativo
Pretérito

vosotros [barrer]";"vosotros barristeis"
"Indicativo
Pretérito

vosotras [barrer]";"vosotras barristeis"
"Indicativo
Pretérito

ellos [barrer]";"ellos barrieron"
"Indicativo
Pretérito

ellas [barrer]";"ellas barrieron"
"Indicativo
Pretérito

Ustedes [barrer]";"Ustedes barrieron"
"Indicativo
Pretérito

yo [batir]";"yo batí"
"Indicativo
Pretérito

tú [batir]";"tú batiste"
"Indicativo
Pretérito

él [batir]";"él batió"
"Indicativo
Pretérito

ella [batir]";"ella batió"
"Indicativo
Pretérito

Usted [batir]";"Usted batió"
"Indicativo
Pretérito

nosotros [batir]";"nosotros batimos"
"Indicativo
Pretérito

nosotras [batir]";"nosotras batimos"
"Indicativo
Pretérito

vosotros [batir]";"vosotros batisteis"
"Indicativo
Pretérito

vosotras [batir]";"vosotras batisteis"
"Indicativo
Pretérito

ellos [batir]";"ellos batieron"
"Indicativo
Pretérito

ellas [batir]";"ellas batieron"
"Indicativo
Pretérito

Ustedes [batir]";"Ustedes batieron"
"Indicativo
Pretérito

yo [beber]";"yo bebí"
"Indicativo
Pretérito

tú [beber]";"tú bebiste"
"Indicativo
Pretérito

él [beber]";"él bebió"
"Indicativo
Pretérito

ella [beber]";"ella bebió"
"Indicativo
Pretérito

Usted [beber]";"Usted bebió"
"Indicativo
Pretérito

nosotros [beber]";"nosotros bebimos"
"Indicativo
Pretérito

nosotras [beber]";"nosotras bebimos"
"Indicativo
Pretérito

vosotros [beber]";"vosotros bebisteis"
"Indicativo
Pretérito

vosotras [beber]";"vosotras bebisteis"
"Indicativo
Pretérito

ellos [beber]";"ellos bebieron"
"Indicativo
Pretérito

ellas [beber]";"ellas bebieron"
"Indicativo
Pretérito

Ustedes [beber]";"Ustedes bebieron"
"Indicativo
Pretérito

yo [bendecir]";"yo bendije"
"Indicativo
Pretérito

tú [bendecir]";"tú bendijiste"
"Indicativo
Pretérito

él [bendecir]";"él bendijo"
"Indicativo
Pretérito

ella [bendecir]";"ella bendijo"
"Indicativo
Pretérito

Usted [bendecir]";"Usted bendijo"
"Indicativo
Pretérito

nosotros [bendecir]";"nosotros bendijimos"
"Indicativo
Pretérito

nosotras [bendecir]";"nosotras bendijimos"
"Indicativo
Pretérito

vosotros [bendecir]";"vosotros bendijisteis"
"Indicativo
Pretérito

vosotras [bendecir]";"vosotras bendijisteis"
"Indicativo
Pretérito

ellos [bendecir]";"ellos bendijeron"
"Indicativo
Pretérito

ellas [bendecir]";"ellas bendijeron"
"Indicativo
Pretérito

Ustedes [bendecir]";"Ustedes bendijeron"
"Indicativo
Pretérito

yo [caber]";"yo cupe"
"Indicativo
Pretérito

tú [caber]";"tú cupiste"
"Indicativo
Pretérito

él [caber]";"él cupo"
"Indicativo
Pretérito

ella [caber]";"ella cupo"
"Indicativo
Pretérito

Usted [caber]";"Usted cupo"
"Indicativo
Pretérito

nosotros [caber]";"nosotros cupimos"
"Indicativo
Pretérito

nosotras [caber]";"nosotras cupimos"
"Indicativo
Pretérito

vosotros [caber]";"vosotros cupisteis"
"Indicativo
Pretérito

vosotras [caber]";"vosotras cupisteis"
"Indicativo
Pretérito

ellos [caber]";"ellos cupieron"
"Indicativo
Pretérito

ellas [caber]";"ellas cupieron"
"Indicativo
Pretérito

Ustedes [caber]";"Ustedes cupieron"
"Indicativo
Pretérito

yo [caer]";"yo caí"
"Indicativo
Pretérito

tú [caer]";"tú caíste"
"Indicativo
Pretérito

él [caer]";"él cayó"
"Indicativo
Pretérito

ella [caer]";"ella cayó"
"Indicativo
Pretérito

Usted [caer]";"Usted cayó"
"Indicativo
Pretérito

nosotros [caer]";"nosotros caímos"
"Indicativo
Pretérito

nosotras [caer]";"nosotras caímos"
"Indicativo
Pretérito

vosotros [caer]";"vosotros caísteis"
"Indicativo
Pretérito

vosotras [caer]";"vosotras caísteis"
"Indicativo
Pretérito

ellos [caer]";"ellos cayeron"
"Indicativo
Pretérito

ellas [caer]";"ellas cayeron"
"Indicativo
Pretérito

Ustedes [caer]";"Ustedes cayeron"
"Indicativo
Pretérito

yo [coger]";"yo cogí"
"Indicativo
Pretérito

tú [coger]";"tú cogiste"
"Indicativo
Pretérito

él [coger]";"él cogió"
"Indicativo
Pretérito

ella [coger]";"ella cogió"
"Indicativo
Pretérito

Usted [coger]";"Usted cogió"
"Indicativo
Pretérito

nosotros [coger]";"nosotros cogimos"
"Indicativo
Pretérito

nosotras [coger]";"nosotras cogimos"
"Indicativo
Pretérito

vosotros [coger]";"vosotros cogisteis"
"Indicativo
Pretérito

vosotras [coger]";"vosotras cogisteis"
"Indicativo
Pretérito

ellos [coger]";"ellos cogieron"
"Indicativo
Pretérito

ellas [coger]";"ellas cogieron"
"Indicativo
Pretérito

Ustedes [coger]";"Ustedes cogieron"
"Indicativo
Pretérito

yo [combatir]";"yo combatí"
"Indicativo
Pretérito

tú [combatir]";"tú combatiste"
"Indicativo
Pretérito

él [combatir]";"él combatió"
"Indicativo
Pretérito

ella [combatir]";"ella combatió"
"Indicativo
Pretérito

Usted [combatir]";"Usted combatió"
"Indicativo
Pretérito

nosotros [combatir]";"nosotros combatimos"
"Indicativo
Pretérito

nosotras [combatir]";"nosotras combatimos"
"Indicativo
Pretérito

vosotros [combatir]";"vosotros combatisteis"
"Indicativo
Pretérito

vosotras [combatir]";"vosotras combatisteis"
"Indicativo
Pretérito

ellos [combatir]";"ellos combatieron"
"Indicativo
Pretérito

ellas [combatir]";"ellas combatieron"
"Indicativo
Pretérito

Ustedes [combatir]";"Ustedes combatieron"
"Indicativo
Pretérito

yo [comer]";"yo comí"
"Indicativo
Pretérito

tú [comer]";"tú comiste"
"Indicativo
Pretérito

él [comer]";"él comió"
"Indicativo
Pretérito

ella [comer]";"ella comió"
"Indicativo
Pretérito

Usted [comer]";"Usted comió"
"Indicativo
Pretérito

nosotros [comer]";"nosotros comimos"
"Indicativo
Pretérito

nosotras [comer]";"nosotras comimos"
"Indicativo
Pretérito

vosotros [comer]";"vosotros comisteis"
"Indicativo
Pretérito

vosotras [comer]";"vosotras comisteis"
"Indicativo
Pretérito

ellos [comer]";"ellos comieron"
"Indicativo
Pretérito

ellas [comer]";"ellas comieron"
"Indicativo
Pretérito

Ustedes [comer]";"Ustedes comieron"
"Indicativo
Pretérito

yo [competir]";"yo competí"
"Indicativo
Pretérito

tú [competir]";"tú competiste"
"Indicativo
Pretérito

él [competir]";"él compitió"
"Indicativo
Pretérito

ella [competir]";"ella compitió"
"Indicativo
Pretérito

Usted [competir]";"Usted compitió"
"Indicativo
Pretérito

nosotros [competir]";"nosotros competimos"
"Indicativo
Pretérito

nosotras [competir]";"nosotras competimos"
"Indicativo
Pretérito

vosotros [competir]";"vosotros competisteis"
"Indicativo
Pretérito

vosotras [competir]";"vosotras competisteis"
"Indicativo
Pretérito

ellos [competir]";"ellos compitieron"
"Indicativo
Pretérito

ellas [competir]";"ellas compitieron"
"Indicativo
Pretérito

Ustedes [competir]";"Ustedes compitieron"
"Indicativo
Pretérito

yo [componer]";"yo compuse"
"Indicativo
Pretérito

tú [componer]";"tú compusiste"
"Indicativo
Pretérito

él [componer]";"él compuso"
"Indicativo
Pretérito

ella [componer]";"ella compuso"
"Indicativo
Pretérito

Usted [componer]";"Usted compuso"
"Indicativo
Pretérito

nosotros [componer]";"nosotros compusimos"
"Indicativo
Pretérito

nosotras [componer]";"nosotras compusimos"
"Indicativo
Pretérito

vosotros [componer]";"vosotros compusisteis"
"Indicativo
Pretérito

vosotras [componer]";"vosotras compusisteis"
"Indicativo
Pretérito

ellos [componer]";"ellos compusieron"
"Indicativo
Pretérito

ellas [componer]";"ellas compusieron"
"Indicativo
Pretérito

Ustedes [componer]";"Ustedes compusieron"
"Indicativo
Pretérito

yo [comprender]";"yo comprendí"
"Indicativo
Pretérito

tú [comprender]";"tú comprendiste"
"Indicativo
Pretérito

él [comprender]";"él comprendió"
"Indicativo
Pretérito

ella [comprender]";"ella comprendió"
"Indicativo
Pretérito

Usted [comprender]";"Usted comprendió"
"Indicativo
Pretérito

nosotros [comprender]";"nosotros comprendimos"
"Indicativo
Pretérito

nosotras [comprender]";"nosotras comprendimos"
"Indicativo
Pretérito

vosotros [comprender]";"vosotros comprendisteis"
"Indicativo
Pretérito

vosotras [comprender]";"vosotras comprendisteis"
"Indicativo
Pretérito

ellos [comprender]";"ellos comprendieron"
"Indicativo
Pretérito

ellas [comprender]";"ellas comprendieron"
"Indicativo
Pretérito

Ustedes [comprender]";"Ustedes comprendieron"
"Indicativo
Pretérito

yo [conducir]";"yo conduje"
"Indicativo
Pretérito

tú [conducir]";"tú condujiste"
"Indicativo
Pretérito

él [conducir]";"él condujo"
"Indicativo
Pretérito

ella [conducir]";"ella condujo"
"Indicativo
Pretérito

Usted [conducir]";"Usted condujo"
"Indicativo
Pretérito

nosotros [conducir]";"nosotros condujimos"
"Indicativo
Pretérito

nosotras [conducir]";"nosotras condujimos"
"Indicativo
Pretérito

vosotros [conducir]";"vosotros condujisteis"
"Indicativo
Pretérito

vosotras [conducir]";"vosotras condujisteis"
"Indicativo
Pretérito

ellos [conducir]";"ellos condujeron"
"Indicativo
Pretérito

ellas [conducir]";"ellas condujeron"
"Indicativo
Pretérito

Ustedes [conducir]";"Ustedes condujeron"
"Indicativo
Pretérito

yo [compartir]";"yo compartí"
"Indicativo
Pretérito

tú [compartir]";"tú compartiste"
"Indicativo
Pretérito

él [compartir]";"él compartió"
"Indicativo
Pretérito

ella [compartir]";"ella compartió"
"Indicativo
Pretérito

Usted [compartir]";"Usted compartió"
"Indicativo
Pretérito

nosotros [compartir]";"nosotros compartimos"
"Indicativo
Pretérito

nosotras [compartir]";"nosotras compartimos"
"Indicativo
Pretérito

vosotros [compartir]";"vosotros compartisteis"
"Indicativo
Pretérito

vosotras [compartir]";"vosotras compartisteis"
"Indicativo
Pretérito

ellos [compartir]";"ellos compartieron"
"Indicativo
Pretérito

ellas [compartir]";"ellas compartieron"
"Indicativo
Pretérito

Ustedes [compartir]";"Ustedes compartieron"
"Indicativo
Pretérito

yo [conocer]";"yo conocí"
"Indicativo
Pretérito

tú [conocer]";"tú conociste"
"Indicativo
Pretérito

él [conocer]";"él conoció"
"Indicativo
Pretérito

ella [conocer]";"ella conoció"
"Indicativo
Pretérito

Usted [conocer]";"Usted conoció"
"Indicativo
Pretérito

nosotros [conocer]";"nosotros conocimos"
"Indicativo
Pretérito

nosotras [conocer]";"nosotras conocimos"
"Indicativo
Pretérito

vosotros [conocer]";"vosotros conocisteis"
"Indicativo
Pretérito

vosotras [conocer]";"vosotras conocisteis"
"Indicativo
Pretérito

ellos [conocer]";"ellos conocieron"
"Indicativo
Pretérito

ellas [conocer]";"ellas conocieron"
"Indicativo
Pretérito

Ustedes [conocer]";"Ustedes conocieron"
"Indicativo
Pretérito

yo [conseguir]";"yo conseguí"
"Indicativo
Pretérito

tú [conseguir]";"tú conseguiste"
"Indicativo
Pretérito

él [conseguir]";"él consiguió"
"Indicativo
Pretérito

ella [conseguir]";"ella consiguió"
"Indicativo
Pretérito

Usted [conseguir]";"Usted consiguió"
"Indicativo
Pretérito

nosotros [conseguir]";"nosotros conseguimos"
"Indicativo
Pretérito

nosotras [conseguir]";"nosotras conseguimos"
"Indicativo
Pretérito

vosotros [conseguir]";"vosotros conseguisteis"
"Indicativo
Pretérito

vosotras [conseguir]";"vosotras conseguisteis"
"Indicativo
Pretérito

ellos [conseguir]";"ellos consiguieron"
"Indicativo
Pretérito

ellas [conseguir]";"ellas consiguieron"
"Indicativo
Pretérito

Ustedes [conseguir]";"Ustedes consiguieron"
"Indicativo
Pretérito

yo [consentir]";"yo consentí"
"Indicativo
Pretérito

tú [consentir]";"tú consentiste"
"Indicativo
Pretérito

él [consentir]";"él consintió"
"Indicativo
Pretérito

ella [consentir]";"ella consintió"
"Indicativo
Pretérito

Usted [consentir]";"Usted consintió"
"Indicativo
Pretérito

nosotros [consentir]";"nosotros consentimos"
"Indicativo
Pretérito

nosotras [consentir]";"nosotras consentimos"
"Indicativo
Pretérito

vosotros [consentir]";"vosotros consentisteis"
"Indicativo
Pretérito

vosotras [consentir]";"vosotras consentisteis"
"Indicativo
Pretérito

ellos [consentir]";"ellos consintieron"
"Indicativo
Pretérito

ellas [consentir]";"ellas consintieron"
"Indicativo
Pretérito

Ustedes [consentir]";"Ustedes consintieron"
"Indicativo
Pretérito

yo [consistir]";"yo consistí"
"Indicativo
Pretérito

tú [consistir]";"tú consististe"
"Indicativo
Pretérito

él [consistir]";"él consistió"
"Indicativo
Pretérito

ella [consistir]";"ella consistió"
"Indicativo
Pretérito

Usted [consistir]";"Usted consistió"
"Indicativo
Pretérito

nosotros [consistir]";"nosotros consistimos"
"Indicativo
Pretérito

nosotras [consistir]";"nosotras consistimos"
"Indicativo
Pretérito

vosotros [consistir]";"vosotros consististeis"
"Indicativo
Pretérito

vosotras [consistir]";"vosotras consististeis"
"Indicativo
Pretérito

ellos [consistir]";"ellos consistieron"
"Indicativo
Pretérito

ellas [consistir]";"ellas consistieron"
"Indicativo
Pretérito

Ustedes [consistir]";"Ustedes consistieron"
"Indicativo
Pretérito

yo [constituir]";"yo constituí"
"Indicativo
Pretérito

tú [constituir]";"tú constituiste"
"Indicativo
Pretérito

él [constituir]";"él constituyó"
"Indicativo
Pretérito

ella [constituir]";"ella constituyó"
"Indicativo
Pretérito

Usted [constituir]";"Usted constituyó"
"Indicativo
Pretérito

nosotros [constituir]";"nosotros constituimos"
"Indicativo
Pretérito

nosotras [constituir]";"nosotras constituimos"
"Indicativo
Pretérito

vosotros [constituir]";"vosotros constituisteis"
"Indicativo
Pretérito

vosotras [constituir]";"vosotras constituisteis"
"Indicativo
Pretérito

ellos [constituir]";"ellos constituyeron"
"Indicativo
Pretérito

ellas [constituir]";"ellas constituyeron"
"Indicativo
Pretérito

Ustedes [constituir]";"Ustedes constituyeron"
"Indicativo
Pretérito

yo [construir]";"yo construí"
"Indicativo
Pretérito

tú [construir]";"tú construiste"
"Indicativo
Pretérito

él [construir]";"él construyó"
"Indicativo
Pretérito

ella [construir]";"ella construyó"
"Indicativo
Pretérito

Usted [construir]";"Usted construyó"
"Indicativo
Pretérito

nosotros [construir]";"nosotros construimos"
"Indicativo
Pretérito

nosotras [construir]";"nosotras construimos"
"Indicativo
Pretérito

vosotros [construir]";"vosotros construisteis"
"Indicativo
Pretérito

vosotras [construir]";"vosotras construisteis"
"Indicativo
Pretérito

ellos [construir]";"ellos construyeron"
"Indicativo
Pretérito

ellas [construir]";"ellas construyeron"
"Indicativo
Pretérito

Ustedes [construir]";"Ustedes construyeron"
"Indicativo
Pretérito

yo [consumir]";"yo consumí"
"Indicativo
Pretérito

tú [consumir]";"tú consumiste"
"Indicativo
Pretérito

él [consumir]";"él consumió"
"Indicativo
Pretérito

ella [consumir]";"ella consumió"
"Indicativo
Pretérito

Usted [consumir]";"Usted consumió"
"Indicativo
Pretérito

nosotros [consumir]";"nosotros consumimos"
"Indicativo
Pretérito

nosotras [consumir]";"nosotras consumimos"
"Indicativo
Pretérito

vosotros [consumir]";"vosotros consumisteis"
"Indicativo
Pretérito

vosotras [consumir]";"vosotras consumisteis"
"Indicativo
Pretérito

ellos [consumir]";"ellos consumieron"
"Indicativo
Pretérito

ellas [consumir]";"ellas consumieron"
"Indicativo
Pretérito

Ustedes [consumir]";"Ustedes consumieron"
"Indicativo
Pretérito

yo [contener]";"yo contuve"
